feature,importance_mean,importance_median,ci_lower,ci_upper,std_effect,n_graphs
Expansion,0.09555162319117211,0.09487680218551589,0.08157326206403077,0.10911953569602045,0.07919863448742998,120.0
Eigenvector,0.0791893489181948,0.07923923154331977,0.06693032143616082,0.09125797074379627,0.06890764862022399,120.0
Triangle Participation,0.05985936000176805,0.05963042859513691,0.050646750225625925,0.07003833926596255,0.05592203658648149,120.0
Clustering Coefficient,0.0505860200652526,0.05030441983746078,0.0420752697812332,0.05852621179356439,0.04763895765707691,120.0
E In,0.04163142058731005,0.04158046514027626,0.03614663666759224,0.04730765178610342,0.030092162178841347,120.0
Shortest Path,0.03894228770681907,0.03874490448271,0.03365568873963627,0.04433697321538077,0.031790852848575656,120.0
ODF,0.037553498854779085,0.03762854130835708,0.032799858313345656,0.04288464004754074,0.026907212805287992,120.0
Closeness,0.03675099981745622,0.036697462884441326,0.03156384701601244,0.0426189020323584,0.029724840664815115,120.0
Conductance,0.03536522162396053,0.03546926596037088,0.03088557852940656,0.040187032659588125,0.0258370197383281,120.0
Normalised Cut,0.033766862653466526,0.03373980072213601,0.02935505259067983,0.038298523355732805,0.024028783731793013,120.0
E In Over E Out,0.030510724158195713,0.030573990453437637,0.026830643774645526,0.035210645067602776,0.022671558378595764,120.0
Cut Ratio,0.02789538153051382,0.027874009509294927,0.0233326844362821,0.03313677761370091,0.027555636545946654,120.0
E Out,0.027838863718897523,0.027830243586715105,0.02269019968115381,0.032790637832700864,0.027945726948738706,120.0
Betweenness,0.024354060138659477,0.024411725609270504,0.02051759403703312,0.028723619715552543,0.023111758874682274,120.0
Degree,0.02263684845792967,0.022580164163185607,0.019463777438077257,0.026103314970672656,0.01774059555527958,120.0
