,Stability
graph_045_mu_0_3_node_549,0
graph_045_mu_0_3_node_173,1
graph_045_mu_0_3_node_747,1
graph_045_mu_0_3_node_120,0
graph_045_mu_0_3_node_34,0
graph_045_mu_0_3_node_97,0
graph_045_mu_0_3_node_912,1
graph_045_mu_0_3_node_352,0
graph_045_mu_0_3_node_109,0
graph_045_mu_0_3_node_532,0
graph_045_mu_0_3_node_307,0
graph_045_mu_0_3_node_531,1
graph_045_mu_0_3_node_582,0
graph_045_mu_0_3_node_290,0
graph_045_mu_0_3_node_94,0
graph_045_mu_0_3_node_138,1
graph_045_mu_0_3_node_161,0
graph_045_mu_0_3_node_246,1
graph_045_mu_0_3_node_595,0
graph_045_mu_0_3_node_35,1
graph_045_mu_0_3_node_412,0
graph_045_mu_0_3_node_33,0
graph_045_mu_0_3_node_275,0
graph_045_mu_0_3_node_573,0
graph_045_mu_0_3_node_20,1
graph_045_mu_0_3_node_234,1
graph_045_mu_0_3_node_227,1
graph_045_mu_0_3_node_380,1
graph_045_mu_0_3_node_47,0
graph_045_mu_0_3_node_101,1
graph_045_mu_0_3_node_187,1
graph_045_mu_0_3_node_7,0
graph_045_mu_0_3_node_0,0
graph_045_mu_0_3_node_615,1
graph_045_mu_0_3_node_26,0
graph_045_mu_0_3_node_543,0
graph_045_mu_0_3_node_156,0
graph_045_mu_0_3_node_314,0
graph_045_mu_0_3_node_443,1
graph_045_mu_0_3_node_202,1
graph_045_mu_0_3_node_130,0
graph_045_mu_0_3_node_157,0
graph_045_mu_0_3_node_14,1
graph_045_mu_0_3_node_503,1
graph_045_mu_0_3_node_132,1
graph_045_mu_0_3_node_222,0
graph_045_mu_0_3_node_69,1
graph_045_mu_0_3_node_261,1
graph_045_mu_0_3_node_21,0
graph_045_mu_0_3_node_213,0
