,Stability
graph_055_mu_0_3_node_796,0
graph_055_mu_0_3_node_972,0
graph_055_mu_0_3_node_108,1
graph_055_mu_0_3_node_633,0
graph_055_mu_0_3_node_470,0
graph_055_mu_0_3_node_230,0
graph_055_mu_0_3_node_50,1
graph_055_mu_0_3_node_40,1
graph_055_mu_0_3_node_99,0
graph_055_mu_0_3_node_349,0
graph_055_mu_0_3_node_241,0
graph_055_mu_0_3_node_634,1
graph_055_mu_0_3_node_473,0
graph_055_mu_0_3_node_875,0
graph_055_mu_0_3_node_153,0
graph_055_mu_0_3_node_548,1
graph_055_mu_0_3_node_556,0
graph_055_mu_0_3_node_775,0
graph_055_mu_0_3_node_281,0
graph_055_mu_0_3_node_175,1
graph_055_mu_0_3_node_682,1
graph_055_mu_0_3_node_622,1
graph_055_mu_0_3_node_765,1
graph_055_mu_0_3_node_640,1
graph_055_mu_0_3_node_434,1
graph_055_mu_0_3_node_996,0
graph_055_mu_0_3_node_674,0
graph_055_mu_0_3_node_371,0
graph_055_mu_0_3_node_276,0
graph_055_mu_0_3_node_605,1
graph_055_mu_0_3_node_756,0
graph_055_mu_0_3_node_208,1
graph_055_mu_0_3_node_645,0
graph_055_mu_0_3_node_549,1
graph_055_mu_0_3_node_614,1
graph_055_mu_0_3_node_555,1
graph_055_mu_0_3_node_834,0
graph_055_mu_0_3_node_1,0
graph_055_mu_0_3_node_24,0
graph_055_mu_0_3_node_327,1
graph_055_mu_0_3_node_977,1
graph_055_mu_0_3_node_134,0
graph_055_mu_0_3_node_350,0
graph_055_mu_0_3_node_477,0
graph_055_mu_0_3_node_116,0
graph_055_mu_0_3_node_317,1
graph_055_mu_0_3_node_704,0
graph_055_mu_0_3_node_768,0
graph_055_mu_0_3_node_308,1
graph_055_mu_0_3_node_289,1
graph_055_mu_0_3_node_105,0
graph_055_mu_0_3_node_42,1
graph_055_mu_0_3_node_197,0
graph_055_mu_0_3_node_380,1
graph_055_mu_0_3_node_691,0
graph_055_mu_0_3_node_835,1
graph_055_mu_0_3_node_675,0
graph_055_mu_0_3_node_876,1
graph_055_mu_0_3_node_818,1
graph_055_mu_0_3_node_26,1
graph_055_mu_0_3_node_452,1
graph_055_mu_0_3_node_79,1
graph_055_mu_0_3_node_179,1
graph_055_mu_0_3_node_985,0
graph_055_mu_0_3_node_740,1
graph_055_mu_0_3_node_329,0
graph_055_mu_0_3_node_454,0
graph_055_mu_0_3_node_688,0
graph_055_mu_0_3_node_483,0
graph_055_mu_0_3_node_772,0
