,Stability
graph_09_mu_0_3_node_150,1
graph_09_mu_0_3_node_308,1
graph_09_mu_0_3_node_129,0
graph_09_mu_0_3_node_146,0
graph_09_mu_0_3_node_170,1
graph_09_mu_0_3_node_531,0
graph_09_mu_0_3_node_90,0
graph_09_mu_0_3_node_29,1
graph_09_mu_0_3_node_960,1
graph_09_mu_0_3_node_877,0
graph_09_mu_0_3_node_904,0
graph_09_mu_0_3_node_473,0
graph_09_mu_0_3_node_973,1
graph_09_mu_0_3_node_868,0
graph_09_mu_0_3_node_80,1
graph_09_mu_0_3_node_953,0
graph_09_mu_0_3_node_375,0
graph_09_mu_0_3_node_932,0
graph_09_mu_0_3_node_106,1
graph_09_mu_0_3_node_887,0
graph_09_mu_0_3_node_403,0
graph_09_mu_0_3_node_12,1
graph_09_mu_0_3_node_814,0
graph_09_mu_0_3_node_102,0
graph_09_mu_0_3_node_461,1
graph_09_mu_0_3_node_145,1
graph_09_mu_0_3_node_588,1
graph_09_mu_0_3_node_442,0
graph_09_mu_0_3_node_214,0
graph_09_mu_0_3_node_522,0
graph_09_mu_0_3_node_906,0
graph_09_mu_0_3_node_727,1
graph_09_mu_0_3_node_735,1
graph_09_mu_0_3_node_117,0
graph_09_mu_0_3_node_886,0
graph_09_mu_0_3_node_75,0
graph_09_mu_0_3_node_633,1
graph_09_mu_0_3_node_87,0
graph_09_mu_0_3_node_604,1
graph_09_mu_0_3_node_771,1
graph_09_mu_0_3_node_675,1
graph_09_mu_0_3_node_596,0
graph_09_mu_0_3_node_959,0
graph_09_mu_0_3_node_465,1
graph_09_mu_0_3_node_105,1
graph_09_mu_0_3_node_667,1
graph_09_mu_0_3_node_489,0
graph_09_mu_0_3_node_377,0
graph_09_mu_0_3_node_495,0
graph_09_mu_0_3_node_605,0
graph_09_mu_0_3_node_520,1
graph_09_mu_0_3_node_564,0
graph_09_mu_0_3_node_499,0
graph_09_mu_0_3_node_616,1
graph_09_mu_0_3_node_958,0
graph_09_mu_0_3_node_655,0
graph_09_mu_0_3_node_261,0
graph_09_mu_0_3_node_975,1
graph_09_mu_0_3_node_682,1
graph_09_mu_0_3_node_688,0
graph_09_mu_0_3_node_386,0
graph_09_mu_0_3_node_478,0
graph_09_mu_0_3_node_881,1
graph_09_mu_0_3_node_929,0
graph_09_mu_0_3_node_376,0
graph_09_mu_0_3_node_450,0
graph_09_mu_0_3_node_258,0
graph_09_mu_0_3_node_883,1
graph_09_mu_0_3_node_582,0
graph_09_mu_0_3_node_934,0
graph_09_mu_0_3_node_617,1
graph_09_mu_0_3_node_586,0
graph_09_mu_0_3_node_341,1
graph_09_mu_0_3_node_40,1
graph_09_mu_0_3_node_187,0
graph_09_mu_0_3_node_118,0
graph_09_mu_0_3_node_501,0
graph_09_mu_0_3_node_362,0
graph_09_mu_0_3_node_352,0
graph_09_mu_0_3_node_97,1
graph_09_mu_0_3_node_180,1
graph_09_mu_0_3_node_901,0
graph_09_mu_0_3_node_213,1
graph_09_mu_0_3_node_784,1
graph_09_mu_0_3_node_878,0
graph_09_mu_0_3_node_416,1
graph_09_mu_0_3_node_472,0
graph_09_mu_0_3_node_544,0
graph_09_mu_0_3_node_255,1
graph_09_mu_0_3_node_370,0
graph_09_mu_0_3_node_2,1
graph_09_mu_0_3_node_367,0
graph_09_mu_0_3_node_767,0
graph_09_mu_0_3_node_100,0
graph_09_mu_0_3_node_751,1
graph_09_mu_0_3_node_866,0
graph_09_mu_0_3_node_289,1
graph_09_mu_0_3_node_509,0
graph_09_mu_0_3_node_566,0
graph_09_mu_0_3_node_730,1
graph_09_mu_0_3_node_930,1
graph_09_mu_0_3_node_151,1
graph_09_mu_0_3_node_910,0
graph_09_mu_0_3_node_985,0
graph_09_mu_0_3_node_636,0
graph_09_mu_0_3_node_204,1
graph_09_mu_0_3_node_66,1
graph_09_mu_0_3_node_13,1
graph_09_mu_0_3_node_358,0
graph_09_mu_0_3_node_435,0
graph_09_mu_0_3_node_555,1
graph_09_mu_0_3_node_622,1
graph_09_mu_0_3_node_609,1
graph_09_mu_0_3_node_656,1
graph_09_mu_0_3_node_921,0
graph_09_mu_0_3_node_891,1
graph_09_mu_0_3_node_685,0
graph_09_mu_0_3_node_720,1
graph_09_mu_0_3_node_269,0
graph_09_mu_0_3_node_534,0
graph_09_mu_0_3_node_221,1
graph_09_mu_0_3_node_418,0
graph_09_mu_0_3_node_668,1
graph_09_mu_0_3_node_277,1
graph_09_mu_0_3_node_615,0
graph_09_mu_0_3_node_60,1
graph_09_mu_0_3_node_383,0
graph_09_mu_0_3_node_365,0
