,Entropy
graph_042_mu_0_3_node_0,0.4799725
graph_042_mu_0_3_node_1,0.48715287
graph_042_mu_0_3_node_2,0.48008713
graph_042_mu_0_3_node_3,0.47156274
graph_042_mu_0_3_node_4,0.47250554
graph_042_mu_0_3_node_5,0.47250554
graph_042_mu_0_3_node_6,0.47665447
graph_042_mu_0_3_node_7,0.43410888
graph_042_mu_0_3_node_8,0.48703742
graph_042_mu_0_3_node_9,0.48625776
graph_042_mu_0_3_node_10,0.44662318
graph_042_mu_0_3_node_11,0.49921525
graph_042_mu_0_3_node_12,0.43101838
graph_042_mu_0_3_node_13,0.49921525
graph_042_mu_0_3_node_14,0.486754
graph_042_mu_0_3_node_15,0.50457275
graph_042_mu_0_3_node_16,0.43410888
graph_042_mu_0_3_node_17,0.38039595
graph_042_mu_0_3_node_18,0.43082914
graph_042_mu_0_3_node_19,0.48008713
graph_042_mu_0_3_node_20,0.43410888
graph_042_mu_0_3_node_21,0.4994773
graph_042_mu_0_3_node_22,0.3809235
graph_042_mu_0_3_node_23,0.4793252
graph_042_mu_0_3_node_24,0.43101838
graph_042_mu_0_3_node_25,0.4216909
graph_042_mu_0_3_node_26,0.43410888
graph_042_mu_0_3_node_27,0.49921525
graph_042_mu_0_3_node_28,0.38039595
graph_042_mu_0_3_node_29,0.4464852
graph_042_mu_0_3_node_30,0.45518127
graph_042_mu_0_3_node_31,0.46854955
graph_042_mu_0_3_node_32,0.43107736
graph_042_mu_0_3_node_33,0.48715287
graph_042_mu_0_3_node_34,0.43106136
graph_042_mu_0_3_node_35,0.48008713
graph_042_mu_0_3_node_36,0.40442914
graph_042_mu_0_3_node_37,0.48696443
graph_042_mu_0_3_node_38,0.4995102
graph_042_mu_0_3_node_39,0.49880517
graph_042_mu_0_3_node_40,0.45532832
graph_042_mu_0_3_node_41,0.49880517
graph_042_mu_0_3_node_42,0.43410888
graph_042_mu_0_3_node_43,0.48008713
graph_042_mu_0_3_node_44,0.43410888
graph_042_mu_0_3_node_45,0.47250554
graph_042_mu_0_3_node_46,0.4309377
graph_042_mu_0_3_node_47,0.49880517
graph_042_mu_0_3_node_48,0.47250554
graph_042_mu_0_3_node_49,0.4309377
graph_042_mu_0_3_node_50,0.49880517
graph_042_mu_0_3_node_51,0.43410888
graph_042_mu_0_3_node_52,0.43410888
graph_042_mu_0_3_node_53,0.50457275
graph_042_mu_0_3_node_54,0.43103436
graph_042_mu_0_3_node_55,0.38039595
graph_042_mu_0_3_node_56,0.47250554
graph_042_mu_0_3_node_57,0.47250554
graph_042_mu_0_3_node_58,0.45532832
graph_042_mu_0_3_node_59,0.49880517
graph_042_mu_0_3_node_60,0.4650872
graph_042_mu_0_3_node_61,0.38039595
graph_042_mu_0_3_node_62,0.4308966
graph_042_mu_0_3_node_63,0.43410888
graph_042_mu_0_3_node_64,0.43410888
graph_042_mu_0_3_node_65,0.43101838
graph_042_mu_0_3_node_66,0.45532832
graph_042_mu_0_3_node_67,0.47250554
graph_042_mu_0_3_node_68,0.44497684
graph_042_mu_0_3_node_69,0.46854955
graph_042_mu_0_3_node_70,0.43103436
graph_042_mu_0_3_node_71,0.43410888
graph_042_mu_0_3_node_72,0.46854955
graph_042_mu_0_3_node_73,0.3803868
graph_042_mu_0_3_node_74,0.38490024
graph_042_mu_0_3_node_75,0.45535108
graph_042_mu_0_3_node_76,0.47156274
graph_042_mu_0_3_node_77,0.47250554
graph_042_mu_0_3_node_78,0.49921525
graph_042_mu_0_3_node_79,0.47281983
graph_042_mu_0_3_node_80,0.46673268
graph_042_mu_0_3_node_81,0.46660188
graph_042_mu_0_3_node_82,0.43106136
graph_042_mu_0_3_node_83,0.430931
graph_042_mu_0_3_node_84,0.43026218
graph_042_mu_0_3_node_85,0.43410888
graph_042_mu_0_3_node_86,0.49880517
graph_042_mu_0_3_node_87,0.4867746
graph_042_mu_0_3_node_88,0.43667963
graph_042_mu_0_3_node_89,0.38038668
graph_042_mu_0_3_node_90,0.38039595
graph_042_mu_0_3_node_91,0.47250554
graph_042_mu_0_3_node_92,0.43410888
graph_042_mu_0_3_node_93,0.38039595
graph_042_mu_0_3_node_94,0.47250554
graph_042_mu_0_3_node_95,0.3803868
graph_042_mu_0_3_node_96,0.45532832
graph_042_mu_0_3_node_97,0.38039595
graph_042_mu_0_3_node_98,0.38030323
graph_042_mu_0_3_node_99,0.47250554
graph_042_mu_0_3_node_100,0.49880517
graph_042_mu_0_3_node_101,0.49880517
graph_042_mu_0_3_node_102,0.38039595
graph_042_mu_0_3_node_103,0.4728292
graph_042_mu_0_3_node_104,0.38039595
graph_042_mu_0_3_node_105,0.48008713
graph_042_mu_0_3_node_106,0.47933844
graph_042_mu_0_3_node_107,0.38039595
graph_042_mu_0_3_node_108,0.46854955
graph_042_mu_0_3_node_109,0.45809078
graph_042_mu_0_3_node_110,0.47613856
graph_042_mu_0_3_node_111,0.47250554
graph_042_mu_0_3_node_112,0.49928555
graph_042_mu_0_3_node_113,0.47250554
graph_042_mu_0_3_node_114,0.38025746
graph_042_mu_0_3_node_115,0.45523462
graph_042_mu_0_3_node_116,0.4993515
graph_042_mu_0_3_node_117,0.43034226
graph_042_mu_0_3_node_118,0.47665447
graph_042_mu_0_3_node_119,0.47250554
graph_042_mu_0_3_node_120,0.38039595
graph_042_mu_0_3_node_121,0.46854955
graph_042_mu_0_3_node_122,0.46767288
graph_042_mu_0_3_node_123,0.455248
graph_042_mu_0_3_node_124,0.47250554
graph_042_mu_0_3_node_125,0.38039595
graph_042_mu_0_3_node_126,0.47250554
graph_042_mu_0_3_node_127,0.43410888
graph_042_mu_0_3_node_128,0.4681806
graph_042_mu_0_3_node_129,0.43021724
graph_042_mu_0_3_node_130,0.47250554
graph_042_mu_0_3_node_131,0.49921525
graph_042_mu_0_3_node_132,0.38038668
graph_042_mu_0_3_node_133,0.47622576
graph_042_mu_0_3_node_134,0.49921525
graph_042_mu_0_3_node_135,0.47250554
graph_042_mu_0_3_node_136,0.47250554
graph_042_mu_0_3_node_137,0.49880517
graph_042_mu_0_3_node_138,0.49880517
graph_042_mu_0_3_node_139,0.43101838
graph_042_mu_0_3_node_140,0.41769302
graph_042_mu_0_3_node_141,0.43103436
graph_042_mu_0_3_node_142,0.380726
graph_042_mu_0_3_node_143,0.49821368
graph_042_mu_0_3_node_144,0.468865
graph_042_mu_0_3_node_145,0.4551677
graph_042_mu_0_3_node_146,0.49921525
graph_042_mu_0_3_node_147,0.4302712
graph_042_mu_0_3_node_148,0.4868191
graph_042_mu_0_3_node_149,0.49921525
graph_042_mu_0_3_node_150,0.43106136
graph_042_mu_0_3_node_151,0.46854955
graph_042_mu_0_3_node_152,0.49921525
graph_042_mu_0_3_node_153,0.38030323
graph_042_mu_0_3_node_154,0.47250554
graph_042_mu_0_3_node_155,0.43410888
graph_042_mu_0_3_node_156,0.3803868
graph_042_mu_0_3_node_157,0.430931
graph_042_mu_0_3_node_158,0.43094692
