,Entropy
graph_060_mu_0_3_node_0,0.2524535
graph_060_mu_0_3_node_1,0.25945505
graph_060_mu_0_3_node_2,0.22978547
graph_060_mu_0_3_node_3,0.22720659
graph_060_mu_0_3_node_4,0.22720659
graph_060_mu_0_3_node_5,0.16383569
graph_060_mu_0_3_node_6,0.22720659
graph_060_mu_0_3_node_7,0.21457313
graph_060_mu_0_3_node_8,0.24131303
graph_060_mu_0_3_node_9,0.23536018
graph_060_mu_0_3_node_10,0.22720659
graph_060_mu_0_3_node_11,0.1684005
graph_060_mu_0_3_node_12,0.18602166
graph_060_mu_0_3_node_13,0.25427374
graph_060_mu_0_3_node_14,0.15887856
graph_060_mu_0_3_node_15,0.23652212
graph_060_mu_0_3_node_16,0.1808205
graph_060_mu_0_3_node_17,0.15900473
graph_060_mu_0_3_node_18,0.1645348
graph_060_mu_0_3_node_19,0.1556789
graph_060_mu_0_3_node_20,0.16383569
graph_060_mu_0_3_node_21,0.1615352
graph_060_mu_0_3_node_22,0.16383569
graph_060_mu_0_3_node_23,0.22978547
graph_060_mu_0_3_node_24,0.23652212
graph_060_mu_0_3_node_25,0.19626285
graph_060_mu_0_3_node_26,0.25945505
graph_060_mu_0_3_node_27,0.1615352
graph_060_mu_0_3_node_28,0.16383569
graph_060_mu_0_3_node_29,0.1561954
graph_060_mu_0_3_node_30,0.1615352
graph_060_mu_0_3_node_31,0.24198474
graph_060_mu_0_3_node_32,0.16383569
graph_060_mu_0_3_node_33,0.18602166
graph_060_mu_0_3_node_34,0.15565811
graph_060_mu_0_3_node_35,0.18283372
graph_060_mu_0_3_node_36,0.1684005
graph_060_mu_0_3_node_37,0.1615352
graph_060_mu_0_3_node_38,0.18602166
graph_060_mu_0_3_node_39,0.24927038
graph_060_mu_0_3_node_40,0.25427374
graph_060_mu_0_3_node_41,0.19223331
graph_060_mu_0_3_node_42,0.18532456
graph_060_mu_0_3_node_43,0.16799524
graph_060_mu_0_3_node_44,0.15888456
graph_060_mu_0_3_node_45,0.21470374
graph_060_mu_0_3_node_46,0.24131303
graph_060_mu_0_3_node_47,0.16383569
graph_060_mu_0_3_node_48,0.22098026
graph_060_mu_0_3_node_49,0.25945505
graph_060_mu_0_3_node_50,0.16383569
graph_060_mu_0_3_node_51,0.24198474
graph_060_mu_0_3_node_52,0.15983377
graph_060_mu_0_3_node_53,0.23573346
graph_060_mu_0_3_node_54,0.20817141
graph_060_mu_0_3_node_55,0.25184265
graph_060_mu_0_3_node_56,0.16608627
graph_060_mu_0_3_node_57,0.24198474
graph_060_mu_0_3_node_58,0.18532456
graph_060_mu_0_3_node_59,0.24131303
graph_060_mu_0_3_node_60,0.22425427
graph_060_mu_0_3_node_61,0.2524535
graph_060_mu_0_3_node_62,0.23536018
graph_060_mu_0_3_node_63,0.24198474
graph_060_mu_0_3_node_64,0.23507409
graph_060_mu_0_3_node_65,0.25032112
graph_060_mu_0_3_node_66,0.15771638
graph_060_mu_0_3_node_67,0.24198474
graph_060_mu_0_3_node_68,0.24131303
graph_060_mu_0_3_node_69,0.23771822
graph_060_mu_0_3_node_70,0.2524535
graph_060_mu_0_3_node_71,0.24198474
graph_060_mu_0_3_node_72,0.24949647
graph_060_mu_0_3_node_73,0.22720659
graph_060_mu_0_3_node_74,0.22342315
graph_060_mu_0_3_node_75,0.22720659
graph_060_mu_0_3_node_76,0.18283372
graph_060_mu_0_3_node_77,0.16814794
graph_060_mu_0_3_node_78,0.17375825
graph_060_mu_0_3_node_79,0.24131303
