,Entropy
graph_05_mu_0_3_node_0,0.48366973
graph_05_mu_0_3_node_1,0.43303552
graph_05_mu_0_3_node_2,0.4628737
graph_05_mu_0_3_node_3,0.43508515
graph_05_mu_0_3_node_4,0.48366973
graph_05_mu_0_3_node_5,0.39999315
graph_05_mu_0_3_node_6,0.4603794
graph_05_mu_0_3_node_7,0.47729996
graph_05_mu_0_3_node_8,0.46840855
graph_05_mu_0_3_node_9,0.47729996
graph_05_mu_0_3_node_10,0.42935193
graph_05_mu_0_3_node_11,0.46904984
graph_05_mu_0_3_node_12,0.4628737
graph_05_mu_0_3_node_13,0.47729996
graph_05_mu_0_3_node_14,0.47421336
graph_05_mu_0_3_node_15,0.50522983
graph_05_mu_0_3_node_16,0.48711774
graph_05_mu_0_3_node_17,0.49286205
graph_05_mu_0_3_node_18,0.4001351
graph_05_mu_0_3_node_19,0.49517247
graph_05_mu_0_3_node_20,0.49286205
graph_05_mu_0_3_node_21,0.46881557
graph_05_mu_0_3_node_22,0.49286205
graph_05_mu_0_3_node_23,0.47383428
graph_05_mu_0_3_node_24,0.472666
graph_05_mu_0_3_node_25,0.4366512
graph_05_mu_0_3_node_26,0.4924901
graph_05_mu_0_3_node_27,0.48711774
graph_05_mu_0_3_node_28,0.39999315
graph_05_mu_0_3_node_29,0.49380425
graph_05_mu_0_3_node_30,0.4628737
graph_05_mu_0_3_node_31,0.39999315
graph_05_mu_0_3_node_32,0.44693455
graph_05_mu_0_3_node_33,0.47729996
graph_05_mu_0_3_node_34,0.46955085
graph_05_mu_0_3_node_35,0.39999315
graph_05_mu_0_3_node_36,0.4689673
graph_05_mu_0_3_node_37,0.47729996
graph_05_mu_0_3_node_38,0.46955085
graph_05_mu_0_3_node_39,0.46136853
graph_05_mu_0_3_node_40,0.46955085
graph_05_mu_0_3_node_41,0.50522983
graph_05_mu_0_3_node_42,0.47729996
graph_05_mu_0_3_node_43,0.47729996
graph_05_mu_0_3_node_44,0.4340472
graph_05_mu_0_3_node_45,0.46955085
graph_05_mu_0_3_node_46,0.4732284
graph_05_mu_0_3_node_47,0.48191047
graph_05_mu_0_3_node_48,0.4867259
graph_05_mu_0_3_node_49,0.49185556
graph_05_mu_0_3_node_50,0.48711774
graph_05_mu_0_3_node_51,0.47430208
graph_05_mu_0_3_node_52,0.48711774
graph_05_mu_0_3_node_53,0.39999315
graph_05_mu_0_3_node_54,0.39999315
graph_05_mu_0_3_node_55,0.48198017
graph_05_mu_0_3_node_56,0.43612963
graph_05_mu_0_3_node_57,0.43631354
graph_05_mu_0_3_node_58,0.39999315
graph_05_mu_0_3_node_59,0.48711774
graph_05_mu_0_3_node_60,0.45664713
graph_05_mu_0_3_node_61,0.46955085
graph_05_mu_0_3_node_62,0.39999315
graph_05_mu_0_3_node_63,0.45313078
graph_05_mu_0_3_node_64,0.49286205
graph_05_mu_0_3_node_65,0.39999315
graph_05_mu_0_3_node_66,0.39999315
graph_05_mu_0_3_node_67,0.46835503
graph_05_mu_0_3_node_68,0.486841
graph_05_mu_0_3_node_69,0.43647206
graph_05_mu_0_3_node_70,0.45634612
graph_05_mu_0_3_node_71,0.45664856
graph_05_mu_0_3_node_72,0.48711774
graph_05_mu_0_3_node_73,0.47393692
graph_05_mu_0_3_node_74,0.4859595
graph_05_mu_0_3_node_75,0.45688996
graph_05_mu_0_3_node_76,0.48711774
graph_05_mu_0_3_node_77,0.4567238
graph_05_mu_0_3_node_78,0.47729996
graph_05_mu_0_3_node_79,0.46024722
graph_05_mu_0_3_node_80,0.43449262
graph_05_mu_0_3_node_81,0.48711774
graph_05_mu_0_3_node_82,0.49401018
graph_05_mu_0_3_node_83,0.4651258
graph_05_mu_0_3_node_84,0.48191047
graph_05_mu_0_3_node_85,0.48366973
graph_05_mu_0_3_node_86,0.48711774
graph_05_mu_0_3_node_87,0.47729996
graph_05_mu_0_3_node_88,0.45668986
graph_05_mu_0_3_node_89,0.47729996
graph_05_mu_0_3_node_90,0.39999315
graph_05_mu_0_3_node_91,0.39389557
graph_05_mu_0_3_node_92,0.43032372
graph_05_mu_0_3_node_93,0.47729996
graph_05_mu_0_3_node_94,0.4689589
graph_05_mu_0_3_node_95,0.39999315
graph_05_mu_0_3_node_96,0.4267882
graph_05_mu_0_3_node_97,0.4337318
graph_05_mu_0_3_node_98,0.39999315
graph_05_mu_0_3_node_99,0.46829933
graph_05_mu_0_3_node_100,0.46016818
graph_05_mu_0_3_node_101,0.44810766
graph_05_mu_0_3_node_102,0.39999315
graph_05_mu_0_3_node_103,0.45823824
graph_05_mu_0_3_node_104,0.39999315
graph_05_mu_0_3_node_105,0.39999315
graph_05_mu_0_3_node_106,0.49517247
graph_05_mu_0_3_node_107,0.46955085
graph_05_mu_0_3_node_108,0.48711774
graph_05_mu_0_3_node_109,0.49715033
graph_05_mu_0_3_node_110,0.39999315
graph_05_mu_0_3_node_111,0.48325562
graph_05_mu_0_3_node_112,0.48711774
graph_05_mu_0_3_node_113,0.49194586
graph_05_mu_0_3_node_114,0.47729996
graph_05_mu_0_3_node_115,0.50522983
graph_05_mu_0_3_node_116,0.39999315
graph_05_mu_0_3_node_117,0.48141152
graph_05_mu_0_3_node_118,0.48711774
graph_05_mu_0_3_node_119,0.45688996
graph_05_mu_0_3_node_120,0.47729996
graph_05_mu_0_3_node_121,0.45313078
graph_05_mu_0_3_node_122,0.4034634
graph_05_mu_0_3_node_123,0.4292853
graph_05_mu_0_3_node_124,0.45541683
graph_05_mu_0_3_node_125,0.42053
graph_05_mu_0_3_node_126,0.48366973
graph_05_mu_0_3_node_127,0.49286205
graph_05_mu_0_3_node_128,0.4921803
graph_05_mu_0_3_node_129,0.46955085
graph_05_mu_0_3_node_130,0.39999315
graph_05_mu_0_3_node_131,0.39999315
graph_05_mu_0_3_node_132,0.4518318
graph_05_mu_0_3_node_133,0.43498942
graph_05_mu_0_3_node_134,0.49705553
graph_05_mu_0_3_node_135,0.47729996
graph_05_mu_0_3_node_136,0.43007898
graph_05_mu_0_3_node_137,0.46671563
graph_05_mu_0_3_node_138,0.39999315
graph_05_mu_0_3_node_139,0.45686495
graph_05_mu_0_3_node_140,0.45256642
graph_05_mu_0_3_node_141,0.4628737
graph_05_mu_0_3_node_142,0.4600341
graph_05_mu_0_3_node_143,0.45929927
graph_05_mu_0_3_node_144,0.39999315
graph_05_mu_0_3_node_145,0.3983896
graph_05_mu_0_3_node_146,0.402629
graph_05_mu_0_3_node_147,0.39999315
graph_05_mu_0_3_node_148,0.39999315
graph_05_mu_0_3_node_149,0.39999315
graph_05_mu_0_3_node_150,0.4621645
graph_05_mu_0_3_node_151,0.45647615
graph_05_mu_0_3_node_152,0.4526597
graph_05_mu_0_3_node_153,0.4366512
graph_05_mu_0_3_node_154,0.50522983
graph_05_mu_0_3_node_155,0.48711774
graph_05_mu_0_3_node_156,0.45561853
graph_05_mu_0_3_node_157,0.48366973
graph_05_mu_0_3_node_158,0.48191047
graph_05_mu_0_3_node_159,0.4628737
graph_05_mu_0_3_node_160,0.48191047
graph_05_mu_0_3_node_161,0.4628737
graph_05_mu_0_3_node_162,0.48711774
graph_05_mu_0_3_node_163,0.42387307
graph_05_mu_0_3_node_164,0.39999315
graph_05_mu_0_3_node_165,0.40258324
graph_05_mu_0_3_node_166,0.4628737
graph_05_mu_0_3_node_167,0.48711774
graph_05_mu_0_3_node_168,0.45577115
graph_05_mu_0_3_node_169,0.46955085
graph_05_mu_0_3_node_170,0.49517247
graph_05_mu_0_3_node_171,0.39999315
graph_05_mu_0_3_node_172,0.49474633
graph_05_mu_0_3_node_173,0.4626825
graph_05_mu_0_3_node_174,0.4628737
graph_05_mu_0_3_node_175,0.39999315
graph_05_mu_0_3_node_176,0.45592284
graph_05_mu_0_3_node_177,0.46278247
graph_05_mu_0_3_node_178,0.48573053
graph_05_mu_0_3_node_179,0.47729996
graph_05_mu_0_3_node_180,0.48573053
graph_05_mu_0_3_node_181,0.39999315
graph_05_mu_0_3_node_182,0.39999315
graph_05_mu_0_3_node_183,0.39999315
graph_05_mu_0_3_node_184,0.46863422
graph_05_mu_0_3_node_185,0.46908098
graph_05_mu_0_3_node_186,0.42864087
graph_05_mu_0_3_node_187,0.47426647
graph_05_mu_0_3_node_188,0.4628737
graph_05_mu_0_3_node_189,0.4628737
graph_05_mu_0_3_node_190,0.46941668
graph_05_mu_0_3_node_191,0.42880237
graph_05_mu_0_3_node_192,0.49408612
graph_05_mu_0_3_node_193,0.47729996
graph_05_mu_0_3_node_194,0.49286205
graph_05_mu_0_3_node_195,0.4572076
graph_05_mu_0_3_node_196,0.4628737
graph_05_mu_0_3_node_197,0.49517247
graph_05_mu_0_3_node_198,0.45252472
graph_05_mu_0_3_node_199,0.4628737
graph_05_mu_0_3_node_200,0.39999315
graph_05_mu_0_3_node_201,0.46982715
graph_05_mu_0_3_node_202,0.4299218
graph_05_mu_0_3_node_203,0.40414315
graph_05_mu_0_3_node_204,0.47729996
graph_05_mu_0_3_node_205,0.4628737
graph_05_mu_0_3_node_206,0.4040964
graph_05_mu_0_3_node_207,0.46955085
graph_05_mu_0_3_node_208,0.39999315
graph_05_mu_0_3_node_209,0.48191047
graph_05_mu_0_3_node_210,0.39999315
graph_05_mu_0_3_node_211,0.39999315
graph_05_mu_0_3_node_212,0.4040997
graph_05_mu_0_3_node_213,0.4628737
graph_05_mu_0_3_node_214,0.50522983
graph_05_mu_0_3_node_215,0.46278247
graph_05_mu_0_3_node_216,0.39999315
graph_05_mu_0_3_node_217,0.47729996
graph_05_mu_0_3_node_218,0.45844284
graph_05_mu_0_3_node_219,0.45647478
graph_05_mu_0_3_node_220,0.48711774
graph_05_mu_0_3_node_221,0.5050556
graph_05_mu_0_3_node_222,0.4488989
graph_05_mu_0_3_node_223,0.4366512
graph_05_mu_0_3_node_224,0.49715033
graph_05_mu_0_3_node_225,0.4297507
graph_05_mu_0_3_node_226,0.39999315
graph_05_mu_0_3_node_227,0.4628737
graph_05_mu_0_3_node_228,0.43612653
graph_05_mu_0_3_node_229,0.4628737
graph_05_mu_0_3_node_230,0.4216994
graph_05_mu_0_3_node_231,0.4628737
graph_05_mu_0_3_node_232,0.39999315
graph_05_mu_0_3_node_233,0.50251424
graph_05_mu_0_3_node_234,0.4628737
graph_05_mu_0_3_node_235,0.4628737
graph_05_mu_0_3_node_236,0.43043053
graph_05_mu_0_3_node_237,0.39999315
graph_05_mu_0_3_node_238,0.39999315
graph_05_mu_0_3_node_239,0.39999315
graph_05_mu_0_3_node_240,0.42759857
graph_05_mu_0_3_node_241,0.3972374
graph_05_mu_0_3_node_242,0.43620223
graph_05_mu_0_3_node_243,0.42877418
graph_05_mu_0_3_node_244,0.49006563
graph_05_mu_0_3_node_245,0.40228304
graph_05_mu_0_3_node_246,0.46955085
graph_05_mu_0_3_node_247,0.4366512
graph_05_mu_0_3_node_248,0.43574604
graph_05_mu_0_3_node_249,0.45573762
graph_05_mu_0_3_node_250,0.48711774
graph_05_mu_0_3_node_251,0.4628737
graph_05_mu_0_3_node_252,0.4628737
graph_05_mu_0_3_node_253,0.39999315
graph_05_mu_0_3_node_254,0.4366512
graph_05_mu_0_3_node_255,0.4628737
graph_05_mu_0_3_node_256,0.46955085
graph_05_mu_0_3_node_257,0.43512884
graph_05_mu_0_3_node_258,0.49286205
graph_05_mu_0_3_node_259,0.40223575
graph_05_mu_0_3_node_260,0.4817769
graph_05_mu_0_3_node_261,0.4612862
graph_05_mu_0_3_node_262,0.42673957
graph_05_mu_0_3_node_263,0.48191047
graph_05_mu_0_3_node_264,0.4628737
graph_05_mu_0_3_node_265,0.48352817
graph_05_mu_0_3_node_266,0.49461147
graph_05_mu_0_3_node_267,0.46955085
graph_05_mu_0_3_node_268,0.42926037
graph_05_mu_0_3_node_269,0.4832961
graph_05_mu_0_3_node_270,0.46955085
graph_05_mu_0_3_node_271,0.45886707
graph_05_mu_0_3_node_272,0.39999315
graph_05_mu_0_3_node_273,0.4972263
graph_05_mu_0_3_node_274,0.4583405
graph_05_mu_0_3_node_275,0.42939627
graph_05_mu_0_3_node_276,0.49231374
graph_05_mu_0_3_node_277,0.43579045
graph_05_mu_0_3_node_278,0.4628737
graph_05_mu_0_3_node_279,0.46955085
graph_05_mu_0_3_node_280,0.49286205
graph_05_mu_0_3_node_281,0.48191047
graph_05_mu_0_3_node_282,0.46955085
graph_05_mu_0_3_node_283,0.4299073
graph_05_mu_0_3_node_284,0.39999315
graph_05_mu_0_3_node_285,0.3936129
graph_05_mu_0_3_node_286,0.4859595
graph_05_mu_0_3_node_287,0.4628737
graph_05_mu_0_3_node_288,0.49301147
graph_05_mu_0_3_node_289,0.4023931
graph_05_mu_0_3_node_290,0.43651712
graph_05_mu_0_3_node_291,0.49286205
graph_05_mu_0_3_node_292,0.49286205
graph_05_mu_0_3_node_293,0.4366086
graph_05_mu_0_3_node_294,0.4628737
graph_05_mu_0_3_node_295,0.46036184
graph_05_mu_0_3_node_296,0.48183477
graph_05_mu_0_3_node_297,0.39999315
graph_05_mu_0_3_node_298,0.49262294
graph_05_mu_0_3_node_299,0.48183477
graph_05_mu_0_3_node_300,0.41664103
graph_05_mu_0_3_node_301,0.47729996
graph_05_mu_0_3_node_302,0.4628737
graph_05_mu_0_3_node_303,0.48191047
graph_05_mu_0_3_node_304,0.47729996
graph_05_mu_0_3_node_305,0.45080274
graph_05_mu_0_3_node_306,0.47729996
graph_05_mu_0_3_node_307,0.49286205
graph_05_mu_0_3_node_308,0.47821563
graph_05_mu_0_3_node_309,0.46914124
graph_05_mu_0_3_node_310,0.49286205
graph_05_mu_0_3_node_311,0.43233922
graph_05_mu_0_3_node_312,0.4616872
graph_05_mu_0_3_node_313,0.4628737
graph_05_mu_0_3_node_314,0.39999315
graph_05_mu_0_3_node_315,0.4365182
graph_05_mu_0_3_node_316,0.48191047
graph_05_mu_0_3_node_317,0.4628737
graph_05_mu_0_3_node_318,0.39999315
graph_05_mu_0_3_node_319,0.4776012
graph_05_mu_0_3_node_320,0.48126978
graph_05_mu_0_3_node_321,0.43165338
graph_05_mu_0_3_node_322,0.47729996
graph_05_mu_0_3_node_323,0.44247544
graph_05_mu_0_3_node_324,0.47729996
graph_05_mu_0_3_node_325,0.48366973
graph_05_mu_0_3_node_326,0.4628737
graph_05_mu_0_3_node_327,0.39999315
graph_05_mu_0_3_node_328,0.4628737
graph_05_mu_0_3_node_329,0.4046415
graph_05_mu_0_3_node_330,0.45313078
graph_05_mu_0_3_node_331,0.39999315
graph_05_mu_0_3_node_332,0.4859595
graph_05_mu_0_3_node_333,0.4772737
graph_05_mu_0_3_node_334,0.39999315
graph_05_mu_0_3_node_335,0.39954507
graph_05_mu_0_3_node_336,0.4628737
graph_05_mu_0_3_node_337,0.4772192
graph_05_mu_0_3_node_338,0.39999315
graph_05_mu_0_3_node_339,0.47729996
graph_05_mu_0_3_node_340,0.49324757
graph_05_mu_0_3_node_341,0.4972263
graph_05_mu_0_3_node_342,0.43538946
graph_05_mu_0_3_node_343,0.46278498
graph_05_mu_0_3_node_344,0.43249658
graph_05_mu_0_3_node_345,0.48711774
graph_05_mu_0_3_node_346,0.48584846
graph_05_mu_0_3_node_347,0.47287393
graph_05_mu_0_3_node_348,0.47729996
graph_05_mu_0_3_node_349,0.4628737
graph_05_mu_0_3_node_350,0.47729996
graph_05_mu_0_3_node_351,0.47729996
graph_05_mu_0_3_node_352,0.48183477
graph_05_mu_0_3_node_353,0.48191047
graph_05_mu_0_3_node_354,0.4628737
graph_05_mu_0_3_node_355,0.47729996
graph_05_mu_0_3_node_356,0.47729996
graph_05_mu_0_3_node_357,0.45677337
graph_05_mu_0_3_node_358,0.45611307
graph_05_mu_0_3_node_359,0.4822578
graph_05_mu_0_3_node_360,0.45688996
graph_05_mu_0_3_node_361,0.45688856
graph_05_mu_0_3_node_362,0.45949006
graph_05_mu_0_3_node_363,0.4814304
graph_05_mu_0_3_node_364,0.45994493
graph_05_mu_0_3_node_365,0.47729996
graph_05_mu_0_3_node_366,0.45677197
graph_05_mu_0_3_node_367,0.4364264
graph_05_mu_0_3_node_368,0.39999315
graph_05_mu_0_3_node_369,0.4054361
graph_05_mu_0_3_node_370,0.48584846
graph_05_mu_0_3_node_371,0.48191047
graph_05_mu_0_3_node_372,0.48191047
graph_05_mu_0_3_node_373,0.48183477
graph_05_mu_0_3_node_374,0.39981824
graph_05_mu_0_3_node_375,0.39999315
graph_05_mu_0_3_node_376,0.43024313
graph_05_mu_0_3_node_377,0.4024179
graph_05_mu_0_3_node_378,0.49286205
graph_05_mu_0_3_node_379,0.40153137
graph_05_mu_0_3_node_380,0.4129256
graph_05_mu_0_3_node_381,0.39999315
graph_05_mu_0_3_node_382,0.4628737
graph_05_mu_0_3_node_383,0.47729996
graph_05_mu_0_3_node_384,0.39999315
graph_05_mu_0_3_node_385,0.39999315
graph_05_mu_0_3_node_386,0.47729996
graph_05_mu_0_3_node_387,0.4360925
graph_05_mu_0_3_node_388,0.48711774
graph_05_mu_0_3_node_389,0.45204648
graph_05_mu_0_3_node_390,0.47729996
graph_05_mu_0_3_node_391,0.48711774
graph_05_mu_0_3_node_392,0.48711774
graph_05_mu_0_3_node_393,0.4859595
graph_05_mu_0_3_node_394,0.4628737
graph_05_mu_0_3_node_395,0.4972263
graph_05_mu_0_3_node_396,0.4628737
graph_05_mu_0_3_node_397,0.39981824
graph_05_mu_0_3_node_398,0.47729996
graph_05_mu_0_3_node_399,0.48191047
graph_05_mu_0_3_node_400,0.42728093
graph_05_mu_0_3_node_401,0.45617563
graph_05_mu_0_3_node_402,0.47729996
graph_05_mu_0_3_node_403,0.39999315
graph_05_mu_0_3_node_404,0.39999315
graph_05_mu_0_3_node_405,0.46221727
graph_05_mu_0_3_node_406,0.4628737
graph_05_mu_0_3_node_407,0.48191047
graph_05_mu_0_3_node_408,0.4242673
graph_05_mu_0_3_node_409,0.45652357
graph_05_mu_0_3_node_410,0.48176432
graph_05_mu_0_3_node_411,0.39999315
graph_05_mu_0_3_node_412,0.43651712
graph_05_mu_0_3_node_413,0.48711774
graph_05_mu_0_3_node_414,0.48711774
graph_05_mu_0_3_node_415,0.48711774
graph_05_mu_0_3_node_416,0.47707152
graph_05_mu_0_3_node_417,0.49331158
graph_05_mu_0_3_node_418,0.39999315
graph_05_mu_0_3_node_419,0.47725677
graph_05_mu_0_3_node_420,0.39999315
graph_05_mu_0_3_node_421,0.48188183
graph_05_mu_0_3_node_422,0.48711774
graph_05_mu_0_3_node_423,0.48191047
graph_05_mu_0_3_node_424,0.4628737
graph_05_mu_0_3_node_425,0.47729996
graph_05_mu_0_3_node_426,0.39999315
graph_05_mu_0_3_node_427,0.45062837
graph_05_mu_0_3_node_428,0.4366086
graph_05_mu_0_3_node_429,0.48711774
graph_05_mu_0_3_node_430,0.4663585
graph_05_mu_0_3_node_431,0.4817087
graph_05_mu_0_3_node_432,0.4772737
graph_05_mu_0_3_node_433,0.46862853
graph_05_mu_0_3_node_434,0.47730666
graph_05_mu_0_3_node_435,0.48711774
graph_05_mu_0_3_node_436,0.39981824
graph_05_mu_0_3_node_437,0.47729996
graph_05_mu_0_3_node_438,0.4628042
graph_05_mu_0_3_node_439,0.48711774
graph_05_mu_0_3_node_440,0.45275792
graph_05_mu_0_3_node_441,0.46283203
graph_05_mu_0_3_node_442,0.49408612
graph_05_mu_0_3_node_443,0.48191047
graph_05_mu_0_3_node_444,0.47729996
graph_05_mu_0_3_node_445,0.39999315
graph_05_mu_0_3_node_446,0.48711774
graph_05_mu_0_3_node_447,0.45564196
graph_05_mu_0_3_node_448,0.39999315
graph_05_mu_0_3_node_449,0.48191047
graph_05_mu_0_3_node_450,0.39999315
graph_05_mu_0_3_node_451,0.4628737
graph_05_mu_0_3_node_452,0.39999315
graph_05_mu_0_3_node_453,0.49242505
graph_05_mu_0_3_node_454,0.4628737
graph_05_mu_0_3_node_455,0.48711774
graph_05_mu_0_3_node_456,0.39999315
graph_05_mu_0_3_node_457,0.46955085
graph_05_mu_0_3_node_458,0.48191047
graph_05_mu_0_3_node_459,0.47712788
graph_05_mu_0_3_node_460,0.48711774
graph_05_mu_0_3_node_461,0.48191047
graph_05_mu_0_3_node_462,0.4657388
graph_05_mu_0_3_node_463,0.48711774
graph_05_mu_0_3_node_464,0.39489746
graph_05_mu_0_3_node_465,0.48565876
graph_05_mu_0_3_node_466,0.4813813
graph_05_mu_0_3_node_467,0.4357457
graph_05_mu_0_3_node_468,0.47729996
graph_05_mu_0_3_node_469,0.48183477
graph_05_mu_0_3_node_470,0.44238427
graph_05_mu_0_3_node_471,0.47729996
graph_05_mu_0_3_node_472,0.40141553
graph_05_mu_0_3_node_473,0.46955085
graph_05_mu_0_3_node_474,0.47729996
graph_05_mu_0_3_node_475,0.47729996
graph_05_mu_0_3_node_476,0.4628737
graph_05_mu_0_3_node_477,0.48352817
graph_05_mu_0_3_node_478,0.44417801
graph_05_mu_0_3_node_479,0.48711774
graph_05_mu_0_3_node_480,0.469425
graph_05_mu_0_3_node_481,0.48711774
graph_05_mu_0_3_node_482,0.4683546
graph_05_mu_0_3_node_483,0.39999315
graph_05_mu_0_3_node_484,0.3944596
graph_05_mu_0_3_node_485,0.46922576
graph_05_mu_0_3_node_486,0.4648338
graph_05_mu_0_3_node_487,0.4772192
graph_05_mu_0_3_node_488,0.48711774
graph_05_mu_0_3_node_489,0.46955085
graph_05_mu_0_3_node_490,0.48191047
graph_05_mu_0_3_node_491,0.46925616
graph_05_mu_0_3_node_492,0.4628737
graph_05_mu_0_3_node_493,0.4628737
graph_05_mu_0_3_node_494,0.48191047
graph_05_mu_0_3_node_495,0.48711774
graph_05_mu_0_3_node_496,0.39999315
graph_05_mu_0_3_node_497,0.4437845
graph_05_mu_0_3_node_498,0.48692146
graph_05_mu_0_3_node_499,0.46955085
graph_05_mu_0_3_node_500,0.4020843
graph_05_mu_0_3_node_501,0.48183477
graph_05_mu_0_3_node_502,0.4628737
graph_05_mu_0_3_node_503,0.49227118
graph_05_mu_0_3_node_504,0.4628737
graph_05_mu_0_3_node_505,0.4022418
graph_05_mu_0_3_node_506,0.4902494
graph_05_mu_0_3_node_507,0.39999315
graph_05_mu_0_3_node_508,0.50522983
graph_05_mu_0_3_node_509,0.4902483
graph_05_mu_0_3_node_510,0.39999315
graph_05_mu_0_3_node_511,0.39999315
graph_05_mu_0_3_node_512,0.39999315
graph_05_mu_0_3_node_513,0.43486145
graph_05_mu_0_3_node_514,0.4603381
graph_05_mu_0_3_node_515,0.45831183
graph_05_mu_0_3_node_516,0.4341761
graph_05_mu_0_3_node_517,0.4628737
graph_05_mu_0_3_node_518,0.39999315
graph_05_mu_0_3_node_519,0.43614972
graph_05_mu_0_3_node_520,0.43012777
graph_05_mu_0_3_node_521,0.40089777
graph_05_mu_0_3_node_522,0.39999315
graph_05_mu_0_3_node_523,0.47380584
graph_05_mu_0_3_node_524,0.4366086
graph_05_mu_0_3_node_525,0.48711774
graph_05_mu_0_3_node_526,0.39999315
graph_05_mu_0_3_node_527,0.45696667
graph_05_mu_0_3_node_528,0.49408612
graph_05_mu_0_3_node_529,0.42756718
graph_05_mu_0_3_node_530,0.47729996
graph_05_mu_0_3_node_531,0.4568147
graph_05_mu_0_3_node_532,0.39999315
graph_05_mu_0_3_node_533,0.48711774
graph_05_mu_0_3_node_534,0.39999315
graph_05_mu_0_3_node_535,0.4719798
graph_05_mu_0_3_node_536,0.39999315
graph_05_mu_0_3_node_537,0.48191047
graph_05_mu_0_3_node_538,0.39999315
graph_05_mu_0_3_node_539,0.4295408
graph_05_mu_0_3_node_540,0.48711774
graph_05_mu_0_3_node_541,0.46937346
graph_05_mu_0_3_node_542,0.46955085
graph_05_mu_0_3_node_543,0.42893982
graph_05_mu_0_3_node_544,0.39999315
graph_05_mu_0_3_node_545,0.48584846
graph_05_mu_0_3_node_546,0.4355993
graph_05_mu_0_3_node_547,0.43160653
graph_05_mu_0_3_node_548,0.48366973
graph_05_mu_0_3_node_549,0.39999315
graph_05_mu_0_3_node_550,0.46955085
graph_05_mu_0_3_node_551,0.39999315
graph_05_mu_0_3_node_552,0.39821738
graph_05_mu_0_3_node_553,0.50522983
graph_05_mu_0_3_node_554,0.472142
graph_05_mu_0_3_node_555,0.4290622
graph_05_mu_0_3_node_556,0.4859595
graph_05_mu_0_3_node_557,0.49286205
graph_05_mu_0_3_node_558,0.4297215
graph_05_mu_0_3_node_559,0.39999315
graph_05_mu_0_3_node_560,0.49443763
graph_05_mu_0_3_node_561,0.47729996
graph_05_mu_0_3_node_562,0.46018603
graph_05_mu_0_3_node_563,0.39999315
graph_05_mu_0_3_node_564,0.4265301
graph_05_mu_0_3_node_565,0.48711774
graph_05_mu_0_3_node_566,0.47729996
graph_05_mu_0_3_node_567,0.49267608
graph_05_mu_0_3_node_568,0.39999315
graph_05_mu_0_3_node_569,0.41097736
graph_05_mu_0_3_node_570,0.4628737
