,Entropy
graph_0120_mu_0_3_node_0,0.46622998
graph_0120_mu_0_3_node_1,0.41735637
graph_0120_mu_0_3_node_2,0.44157353
graph_0120_mu_0_3_node_3,0.4901007
graph_0120_mu_0_3_node_4,0.39464605
graph_0120_mu_0_3_node_5,0.5034679
graph_0120_mu_0_3_node_6,0.50153047
graph_0120_mu_0_3_node_7,0.47251827
graph_0120_mu_0_3_node_8,0.465854
graph_0120_mu_0_3_node_9,0.44157353
graph_0120_mu_0_3_node_10,0.46894023
graph_0120_mu_0_3_node_11,0.47308874
graph_0120_mu_0_3_node_12,0.4901007
graph_0120_mu_0_3_node_13,0.39464605
graph_0120_mu_0_3_node_14,0.47288024
graph_0120_mu_0_3_node_15,0.50345737
graph_0120_mu_0_3_node_16,0.4884118
graph_0120_mu_0_3_node_17,0.50345737
graph_0120_mu_0_3_node_18,0.4643086
graph_0120_mu_0_3_node_19,0.46879128
graph_0120_mu_0_3_node_20,0.50341314
graph_0120_mu_0_3_node_21,0.41735637
graph_0120_mu_0_3_node_22,0.39464605
graph_0120_mu_0_3_node_23,0.50153047
graph_0120_mu_0_3_node_24,0.5045652
graph_0120_mu_0_3_node_25,0.43702683
graph_0120_mu_0_3_node_26,0.44116193
graph_0120_mu_0_3_node_27,0.50341314
graph_0120_mu_0_3_node_28,0.50153047
graph_0120_mu_0_3_node_29,0.43658912
graph_0120_mu_0_3_node_30,0.4165597
graph_0120_mu_0_3_node_31,0.41656056
graph_0120_mu_0_3_node_32,0.50345737
graph_0120_mu_0_3_node_33,0.44157353
graph_0120_mu_0_3_node_34,0.4386227
graph_0120_mu_0_3_node_35,0.45714778
graph_0120_mu_0_3_node_36,0.5013576
graph_0120_mu_0_3_node_37,0.49446982
graph_0120_mu_0_3_node_38,0.49445862
graph_0120_mu_0_3_node_39,0.39464605
graph_0120_mu_0_3_node_40,0.44145218
graph_0120_mu_0_3_node_41,0.46894023
graph_0120_mu_0_3_node_42,0.39464605
graph_0120_mu_0_3_node_43,0.4936898
graph_0120_mu_0_3_node_44,0.46645653
graph_0120_mu_0_3_node_45,0.47933933
graph_0120_mu_0_3_node_46,0.4559748
graph_0120_mu_0_3_node_47,0.49447155
graph_0120_mu_0_3_node_48,0.4857728
graph_0120_mu_0_3_node_49,0.46515134
graph_0120_mu_0_3_node_50,0.49446982
graph_0120_mu_0_3_node_51,0.47933933
graph_0120_mu_0_3_node_52,0.46645653
graph_0120_mu_0_3_node_53,0.45684573
graph_0120_mu_0_3_node_54,0.50153047
graph_0120_mu_0_3_node_55,0.4643086
graph_0120_mu_0_3_node_56,0.49446982
graph_0120_mu_0_3_node_57,0.47883666
