,Stability
graph_085_mu_0_2_node_534,1
graph_085_mu_0_2_node_977,1
graph_085_mu_0_2_node_575,0
graph_085_mu_0_2_node_722,1
graph_085_mu_0_2_node_828,0
graph_085_mu_0_2_node_150,1
graph_085_mu_0_2_node_416,0
graph_085_mu_0_2_node_809,0
graph_085_mu_0_2_node_567,0
graph_085_mu_0_2_node_123,0
graph_085_mu_0_2_node_518,0
graph_085_mu_0_2_node_232,0
graph_085_mu_0_2_node_23,0
graph_085_mu_0_2_node_304,0
graph_085_mu_0_2_node_713,1
graph_085_mu_0_2_node_938,0
graph_085_mu_0_2_node_30,0
graph_085_mu_0_2_node_661,0
graph_085_mu_0_2_node_649,0
graph_085_mu_0_2_node_400,0
graph_085_mu_0_2_node_312,0
graph_085_mu_0_2_node_731,1
graph_085_mu_0_2_node_937,0
graph_085_mu_0_2_node_38,1
graph_085_mu_0_2_node_645,1
graph_085_mu_0_2_node_660,0
graph_085_mu_0_2_node_971,1
graph_085_mu_0_2_node_743,1
graph_085_mu_0_2_node_549,0
graph_085_mu_0_2_node_463,1
graph_085_mu_0_2_node_983,0
graph_085_mu_0_2_node_303,0
graph_085_mu_0_2_node_992,1
graph_085_mu_0_2_node_909,0
graph_085_mu_0_2_node_145,1
graph_085_mu_0_2_node_181,0
graph_085_mu_0_2_node_305,1
graph_085_mu_0_2_node_250,1
graph_085_mu_0_2_node_146,0
graph_085_mu_0_2_node_154,1
graph_085_mu_0_2_node_32,0
graph_085_mu_0_2_node_893,0
graph_085_mu_0_2_node_570,0
graph_085_mu_0_2_node_325,0
graph_085_mu_0_2_node_865,1
graph_085_mu_0_2_node_767,0
graph_085_mu_0_2_node_252,0
graph_085_mu_0_2_node_526,1
graph_085_mu_0_2_node_405,1
graph_085_mu_0_2_node_734,1
graph_085_mu_0_2_node_847,0
graph_085_mu_0_2_node_622,1
graph_085_mu_0_2_node_388,1
graph_085_mu_0_2_node_900,1
graph_085_mu_0_2_node_6,0
graph_085_mu_0_2_node_369,0
graph_085_mu_0_2_node_727,0
graph_085_mu_0_2_node_630,1
graph_085_mu_0_2_node_74,0
graph_085_mu_0_2_node_657,0
graph_085_mu_0_2_node_107,1
graph_085_mu_0_2_node_793,0
graph_085_mu_0_2_node_118,1
graph_085_mu_0_2_node_615,0
graph_085_mu_0_2_node_489,1
graph_085_mu_0_2_node_212,1
graph_085_mu_0_2_node_656,0
graph_085_mu_0_2_node_763,0
graph_085_mu_0_2_node_113,0
graph_085_mu_0_2_node_678,0
graph_085_mu_0_2_node_11,0
graph_085_mu_0_2_node_706,0
graph_085_mu_0_2_node_75,0
graph_085_mu_0_2_node_431,0
graph_085_mu_0_2_node_349,0
graph_085_mu_0_2_node_830,0
graph_085_mu_0_2_node_57,0
graph_085_mu_0_2_node_878,1
graph_085_mu_0_2_node_934,1
graph_085_mu_0_2_node_45,0
graph_085_mu_0_2_node_21,0
graph_085_mu_0_2_node_117,0
graph_085_mu_0_2_node_714,0
graph_085_mu_0_2_node_72,0
graph_085_mu_0_2_node_815,0
graph_085_mu_0_2_node_121,0
graph_085_mu_0_2_node_619,1
graph_085_mu_0_2_node_195,1
graph_085_mu_0_2_node_821,1
graph_085_mu_0_2_node_18,0
graph_085_mu_0_2_node_464,1
graph_085_mu_0_2_node_932,1
graph_085_mu_0_2_node_268,1
graph_085_mu_0_2_node_387,1
graph_085_mu_0_2_node_687,0
graph_085_mu_0_2_node_497,1
graph_085_mu_0_2_node_468,0
graph_085_mu_0_2_node_482,0
graph_085_mu_0_2_node_50,1
graph_085_mu_0_2_node_873,1
graph_085_mu_0_2_node_446,0
graph_085_mu_0_2_node_554,0
graph_085_mu_0_2_node_480,1
graph_085_mu_0_2_node_968,1
graph_085_mu_0_2_node_89,0
graph_085_mu_0_2_node_441,1
graph_085_mu_0_2_node_242,1
graph_085_mu_0_2_node_857,0
graph_085_mu_0_2_node_54,1
graph_085_mu_0_2_node_156,0
graph_085_mu_0_2_node_719,0
graph_085_mu_0_2_node_885,1
graph_085_mu_0_2_node_357,0
graph_085_mu_0_2_node_651,0
graph_085_mu_0_2_node_425,0
graph_085_mu_0_2_node_999,1
graph_085_mu_0_2_node_488,1
graph_085_mu_0_2_node_330,0
graph_085_mu_0_2_node_539,0
graph_085_mu_0_2_node_921,0
graph_085_mu_0_2_node_179,1
graph_085_mu_0_2_node_801,0
graph_085_mu_0_2_node_171,1
graph_085_mu_0_2_node_240,0
graph_085_mu_0_2_node_397,0
graph_085_mu_0_2_node_412,1
graph_085_mu_0_2_node_308,1
graph_085_mu_0_2_node_689,0
graph_085_mu_0_2_node_752,1
graph_085_mu_0_2_node_897,1
graph_085_mu_0_2_node_382,0
graph_085_mu_0_2_node_681,0
graph_085_mu_0_2_node_7,0
graph_085_mu_0_2_node_735,1
graph_085_mu_0_2_node_533,0
graph_085_mu_0_2_node_684,1
graph_085_mu_0_2_node_37,0
graph_085_mu_0_2_node_635,0
graph_085_mu_0_2_node_899,1
graph_085_mu_0_2_node_104,1
graph_085_mu_0_2_node_603,0
graph_085_mu_0_2_node_473,1
graph_085_mu_0_2_node_995,1
graph_085_mu_0_2_node_887,1
graph_085_mu_0_2_node_577,0
graph_085_mu_0_2_node_509,0
graph_085_mu_0_2_node_913,0
graph_085_mu_0_2_node_401,0
graph_085_mu_0_2_node_808,0
graph_085_mu_0_2_node_581,1
graph_085_mu_0_2_node_55,1
graph_085_mu_0_2_node_691,0
graph_085_mu_0_2_node_680,1
graph_085_mu_0_2_node_760,1
graph_085_mu_0_2_node_149,0
graph_085_mu_0_2_node_88,1
graph_085_mu_0_2_node_504,1
graph_085_mu_0_2_node_669,1
graph_085_mu_0_2_node_671,1
graph_085_mu_0_2_node_854,1
graph_085_mu_0_2_node_936,1
graph_085_mu_0_2_node_646,0
graph_085_mu_0_2_node_981,0
graph_085_mu_0_2_node_512,0
graph_085_mu_0_2_node_525,0
graph_085_mu_0_2_node_151,1
graph_085_mu_0_2_node_631,1
graph_085_mu_0_2_node_283,1
graph_085_mu_0_2_node_951,1
graph_085_mu_0_2_node_92,1
graph_085_mu_0_2_node_134,0
graph_085_mu_0_2_node_41,0
graph_085_mu_0_2_node_837,1
graph_085_mu_0_2_node_28,0
graph_085_mu_0_2_node_802,1
graph_085_mu_0_2_node_708,1
graph_085_mu_0_2_node_970,0
graph_085_mu_0_2_node_705,0
graph_085_mu_0_2_node_486,1
graph_085_mu_0_2_node_789,0
graph_085_mu_0_2_node_128,1
graph_085_mu_0_2_node_670,0
graph_085_mu_0_2_node_112,1
graph_085_mu_0_2_node_228,0
graph_085_mu_0_2_node_94,1
graph_085_mu_0_2_node_16,0
graph_085_mu_0_2_node_471,0
graph_085_mu_0_2_node_910,1
graph_085_mu_0_2_node_391,0
graph_085_mu_0_2_node_796,0
graph_085_mu_0_2_node_159,1
graph_085_mu_0_2_node_633,0
graph_085_mu_0_2_node_613,0
graph_085_mu_0_2_node_427,1
graph_085_mu_0_2_node_564,1
graph_085_mu_0_2_node_906,0
graph_085_mu_0_2_node_42,0
graph_085_mu_0_2_node_86,0
graph_085_mu_0_2_node_238,1
graph_085_mu_0_2_node_813,0
graph_085_mu_0_2_node_63,1
graph_085_mu_0_2_node_911,0
graph_085_mu_0_2_node_445,1
graph_085_mu_0_2_node_836,0
graph_085_mu_0_2_node_437,0
graph_085_mu_0_2_node_514,0
graph_085_mu_0_2_node_67,1
graph_085_mu_0_2_node_503,1
graph_085_mu_0_2_node_343,0
graph_085_mu_0_2_node_199,1
graph_085_mu_0_2_node_469,0
graph_085_mu_0_2_node_310,0
graph_085_mu_0_2_node_170,0
graph_085_mu_0_2_node_519,0
graph_085_mu_0_2_node_744,0
graph_085_mu_0_2_node_187,0
graph_085_mu_0_2_node_282,0
graph_085_mu_0_2_node_317,1
graph_085_mu_0_2_node_127,0
graph_085_mu_0_2_node_965,0
graph_085_mu_0_2_node_130,0
graph_085_mu_0_2_node_867,0
graph_085_mu_0_2_node_569,0
graph_085_mu_0_2_node_818,0
graph_085_mu_0_2_node_219,1
graph_085_mu_0_2_node_297,1
graph_085_mu_0_2_node_844,0
graph_085_mu_0_2_node_35,1
graph_085_mu_0_2_node_298,1
graph_085_mu_0_2_node_362,0
graph_085_mu_0_2_node_169,0
graph_085_mu_0_2_node_726,1
graph_085_mu_0_2_node_647,1
