,Stability
graph_031_mu_0_2_node_363,0
graph_031_mu_0_2_node_894,1
graph_031_mu_0_2_node_71,1
graph_031_mu_0_2_node_344,0
graph_031_mu_0_2_node_503,0
graph_031_mu_0_2_node_360,0
graph_031_mu_0_2_node_897,1
graph_031_mu_0_2_node_253,1
graph_031_mu_0_2_node_372,1
graph_031_mu_0_2_node_959,0
graph_031_mu_0_2_node_82,1
graph_031_mu_0_2_node_663,0
graph_031_mu_0_2_node_546,1
graph_031_mu_0_2_node_572,0
graph_031_mu_0_2_node_586,1
graph_031_mu_0_2_node_441,0
graph_031_mu_0_2_node_831,0
graph_031_mu_0_2_node_48,1
graph_031_mu_0_2_node_627,0
graph_031_mu_0_2_node_605,0
graph_031_mu_0_2_node_312,0
graph_031_mu_0_2_node_730,1
graph_031_mu_0_2_node_922,0
graph_031_mu_0_2_node_693,1
graph_031_mu_0_2_node_808,1
graph_031_mu_0_2_node_614,0
graph_031_mu_0_2_node_310,1
graph_031_mu_0_2_node_338,1
graph_031_mu_0_2_node_239,0
graph_031_mu_0_2_node_394,0
graph_031_mu_0_2_node_916,0
graph_031_mu_0_2_node_46,1
graph_031_mu_0_2_node_49,0
graph_031_mu_0_2_node_72,0
graph_031_mu_0_2_node_878,0
graph_031_mu_0_2_node_323,1
graph_031_mu_0_2_node_553,1
graph_031_mu_0_2_node_234,0
graph_031_mu_0_2_node_520,1
graph_031_mu_0_2_node_223,0
graph_031_mu_0_2_node_76,1
graph_031_mu_0_2_node_183,1
graph_031_mu_0_2_node_51,0
graph_031_mu_0_2_node_854,0
graph_031_mu_0_2_node_263,0
graph_031_mu_0_2_node_422,0
graph_031_mu_0_2_node_598,1
graph_031_mu_0_2_node_920,1
graph_031_mu_0_2_node_429,0
graph_031_mu_0_2_node_180,0
graph_031_mu_0_2_node_262,0
graph_031_mu_0_2_node_565,1
graph_031_mu_0_2_node_105,0
graph_031_mu_0_2_node_488,0
graph_031_mu_0_2_node_774,0
graph_031_mu_0_2_node_993,0
graph_031_mu_0_2_node_613,0
graph_031_mu_0_2_node_601,0
graph_031_mu_0_2_node_287,1
graph_031_mu_0_2_node_30,0
graph_031_mu_0_2_node_378,0
graph_031_mu_0_2_node_26,1
graph_031_mu_0_2_node_764,0
graph_031_mu_0_2_node_844,0
graph_031_mu_0_2_node_27,0
graph_031_mu_0_2_node_934,0
graph_031_mu_0_2_node_604,0
graph_031_mu_0_2_node_337,1
graph_031_mu_0_2_node_203,0
graph_031_mu_0_2_node_245,0
graph_031_mu_0_2_node_866,1
graph_031_mu_0_2_node_547,0
graph_031_mu_0_2_node_849,0
graph_031_mu_0_2_node_865,1
graph_031_mu_0_2_node_779,0
graph_031_mu_0_2_node_632,0
graph_031_mu_0_2_node_254,1
graph_031_mu_0_2_node_715,1
graph_031_mu_0_2_node_345,1
graph_031_mu_0_2_node_217,1
graph_031_mu_0_2_node_361,0
graph_031_mu_0_2_node_616,0
graph_031_mu_0_2_node_617,1
graph_031_mu_0_2_node_112,0
graph_031_mu_0_2_node_483,0
graph_031_mu_0_2_node_177,1
graph_031_mu_0_2_node_885,0
graph_031_mu_0_2_node_667,1
graph_031_mu_0_2_node_215,1
graph_031_mu_0_2_node_416,1
graph_031_mu_0_2_node_69,1
graph_031_mu_0_2_node_966,0
graph_031_mu_0_2_node_816,1
graph_031_mu_0_2_node_940,1
graph_031_mu_0_2_node_428,1
graph_031_mu_0_2_node_813,0
graph_031_mu_0_2_node_472,0
graph_031_mu_0_2_node_433,0
graph_031_mu_0_2_node_172,1
graph_031_mu_0_2_node_414,0
graph_031_mu_0_2_node_728,1
graph_031_mu_0_2_node_59,0
graph_031_mu_0_2_node_5,1
graph_031_mu_0_2_node_264,1
graph_031_mu_0_2_node_101,1
graph_031_mu_0_2_node_410,0
graph_031_mu_0_2_node_646,1
graph_031_mu_0_2_node_569,0
graph_031_mu_0_2_node_762,1
graph_031_mu_0_2_node_194,1
graph_031_mu_0_2_node_796,0
graph_031_mu_0_2_node_555,0
graph_031_mu_0_2_node_786,1
graph_031_mu_0_2_node_757,0
graph_031_mu_0_2_node_9,0
graph_031_mu_0_2_node_955,0
graph_031_mu_0_2_node_471,1
graph_031_mu_0_2_node_901,1
graph_031_mu_0_2_node_689,0
graph_031_mu_0_2_node_942,1
graph_031_mu_0_2_node_142,0
graph_031_mu_0_2_node_680,0
graph_031_mu_0_2_node_267,1
graph_031_mu_0_2_node_926,0
graph_031_mu_0_2_node_912,1
graph_031_mu_0_2_node_718,0
graph_031_mu_0_2_node_408,1
graph_031_mu_0_2_node_527,1
graph_031_mu_0_2_node_206,0
graph_031_mu_0_2_node_678,0
graph_031_mu_0_2_node_918,0
graph_031_mu_0_2_node_83,0
graph_031_mu_0_2_node_311,0
graph_031_mu_0_2_node_13,1
graph_031_mu_0_2_node_141,1
graph_031_mu_0_2_node_258,0
graph_031_mu_0_2_node_340,0
graph_031_mu_0_2_node_530,0
graph_031_mu_0_2_node_634,0
graph_031_mu_0_2_node_73,0
