,Entropy
graph_055_mu_0_4_node_0,0.02767256
graph_055_mu_0_4_node_1,0.042619925
graph_055_mu_0_4_node_2,0.03139509
graph_055_mu_0_4_node_3,0.03139509
graph_055_mu_0_4_node_4,0.031551763
graph_055_mu_0_4_node_5,0.019846642
graph_055_mu_0_4_node_6,0.030023877
graph_055_mu_0_4_node_7,0.041352957
graph_055_mu_0_4_node_8,0.035624027
graph_055_mu_0_4_node_9,0.048509788
graph_055_mu_0_4_node_10,0.05188659
graph_055_mu_0_4_node_11,0.02526886
graph_055_mu_0_4_node_12,0.013335151
graph_055_mu_0_4_node_13,0.032540165
graph_055_mu_0_4_node_14,0.038317014
graph_055_mu_0_4_node_15,0.077616245
graph_055_mu_0_4_node_16,0.032540165
graph_055_mu_0_4_node_17,0.014146246
graph_055_mu_0_4_node_18,0.05463302
graph_055_mu_0_4_node_19,0.036455628
graph_055_mu_0_4_node_20,0.029567474
graph_055_mu_0_4_node_21,0.0197115
graph_055_mu_0_4_node_22,0.020869723
graph_055_mu_0_4_node_23,0.029049184
graph_055_mu_0_4_node_24,0.029567474
graph_055_mu_0_4_node_25,0.029049184
graph_055_mu_0_4_node_26,0.025539547
graph_055_mu_0_4_node_27,0.052395113
graph_055_mu_0_4_node_28,0.05463302
graph_055_mu_0_4_node_29,0.06455458
graph_055_mu_0_4_node_30,0.041801833
graph_055_mu_0_4_node_31,0.019846642
graph_055_mu_0_4_node_32,0.03496447
graph_055_mu_0_4_node_33,0.03139509
graph_055_mu_0_4_node_34,0.034441337
graph_055_mu_0_4_node_35,0.041801833
graph_055_mu_0_4_node_36,0.038317014
graph_055_mu_0_4_node_37,0.05463302
graph_055_mu_0_4_node_38,0.037377503
graph_055_mu_0_4_node_39,0.030824991
graph_055_mu_0_4_node_40,0.043524154
graph_055_mu_0_4_node_41,0.051338345
graph_055_mu_0_4_node_42,0.029567474
graph_055_mu_0_4_node_43,0.052395113
graph_055_mu_0_4_node_44,0.030358657
graph_055_mu_0_4_node_45,0.03139509
graph_055_mu_0_4_node_46,0.042619925
graph_055_mu_0_4_node_47,0.041801833
graph_055_mu_0_4_node_48,0.051814303
graph_055_mu_0_4_node_49,0.0630791
graph_055_mu_0_4_node_50,0.030358657
graph_055_mu_0_4_node_51,0.029567474
graph_055_mu_0_4_node_52,0.013335151
graph_055_mu_0_4_node_53,0.030358657
graph_055_mu_0_4_node_54,0.041983534
graph_055_mu_0_4_node_55,0.06012114
graph_055_mu_0_4_node_56,0.036455628
graph_055_mu_0_4_node_57,0.036455628
graph_055_mu_0_4_node_58,0.052395113
graph_055_mu_0_4_node_59,0.02767256
graph_055_mu_0_4_node_60,0.04173136
graph_055_mu_0_4_node_61,0.032540165
graph_055_mu_0_4_node_62,0.038588684
graph_055_mu_0_4_node_63,0.034441337
graph_055_mu_0_4_node_64,0.031603567
graph_055_mu_0_4_node_65,0.036792733
graph_055_mu_0_4_node_66,0.038317014
graph_055_mu_0_4_node_67,0.034441337
graph_055_mu_0_4_node_68,0.05969675
graph_055_mu_0_4_node_69,0.032540165
graph_055_mu_0_4_node_70,0.03496447
graph_055_mu_0_4_node_71,0.038588684
graph_055_mu_0_4_node_72,0.031551763
graph_055_mu_0_4_node_73,0.019846642
graph_055_mu_0_4_node_74,0.034441337
graph_055_mu_0_4_node_75,0.019846642
graph_055_mu_0_4_node_76,0.038317014
graph_055_mu_0_4_node_77,0.034441337
graph_055_mu_0_4_node_78,0.05124366
graph_055_mu_0_4_node_79,0.079637006
graph_055_mu_0_4_node_80,0.036455628
graph_055_mu_0_4_node_81,0.06392039
graph_055_mu_0_4_node_82,0.02526886
graph_055_mu_0_4_node_83,0.02526886
graph_055_mu_0_4_node_84,0.02526886
graph_055_mu_0_4_node_85,0.031551763
graph_055_mu_0_4_node_86,0.03663935
graph_055_mu_0_4_node_87,0.14278957
graph_055_mu_0_4_node_88,0.020869723
graph_055_mu_0_4_node_89,0.038588684
graph_055_mu_0_4_node_90,0.034667373
graph_055_mu_0_4_node_91,0.03694655
graph_055_mu_0_4_node_92,0.036455628
graph_055_mu_0_4_node_93,0.019846642
graph_055_mu_0_4_node_94,0.10997841
graph_055_mu_0_4_node_95,0.054584004
graph_055_mu_0_4_node_96,0.029049184
graph_055_mu_0_4_node_97,0.029567474
graph_055_mu_0_4_node_98,0.030358657
graph_055_mu_0_4_node_99,0.031551763
graph_055_mu_0_4_node_100,0.032540165
graph_055_mu_0_4_node_101,0.020869723
graph_055_mu_0_4_node_102,0.020869723
graph_055_mu_0_4_node_103,0.0197115
graph_055_mu_0_4_node_104,0.013335151
graph_055_mu_0_4_node_105,0.035624027
graph_055_mu_0_4_node_106,0.020869723
graph_055_mu_0_4_node_107,0.05463302
graph_055_mu_0_4_node_108,0.034441337
graph_055_mu_0_4_node_109,0.032540165
graph_055_mu_0_4_node_110,0.013335151
graph_055_mu_0_4_node_111,0.04347453
graph_055_mu_0_4_node_112,0.031551763
graph_055_mu_0_4_node_113,0.030824991
graph_055_mu_0_4_node_114,0.02526886
graph_055_mu_0_4_node_115,0.039609022
graph_055_mu_0_4_node_116,0.0197115
graph_055_mu_0_4_node_117,0.030824991
graph_055_mu_0_4_node_118,0.05463302
graph_055_mu_0_4_node_119,0.08222851
graph_055_mu_0_4_node_120,0.0666739
graph_055_mu_0_4_node_121,0.078498416
graph_055_mu_0_4_node_122,0.019846642
graph_055_mu_0_4_node_123,0.059966676
graph_055_mu_0_4_node_124,0.02526886
graph_055_mu_0_4_node_125,0.036455628
graph_055_mu_0_4_node_126,0.036861297
graph_055_mu_0_4_node_127,0.038317014
graph_055_mu_0_4_node_128,0.030023877
graph_055_mu_0_4_node_129,0.029049184
graph_055_mu_0_4_node_130,0.041837808
graph_055_mu_0_4_node_131,0.02526886
graph_055_mu_0_4_node_132,0.048509788
graph_055_mu_0_4_node_133,0.038317014
graph_055_mu_0_4_node_134,0.029049184
graph_055_mu_0_4_node_135,0.030824991
graph_055_mu_0_4_node_136,0.030824991
graph_055_mu_0_4_node_137,0.030824991
graph_055_mu_0_4_node_138,0.031551763
graph_055_mu_0_4_node_139,0.13530023
graph_055_mu_0_4_node_140,0.02767256
