,Entropy
graph_068_mu_0_4_node_0,0.04528341
graph_068_mu_0_4_node_1,0.048554566
graph_068_mu_0_4_node_2,0.040005304
graph_068_mu_0_4_node_3,0.043279875
graph_068_mu_0_4_node_4,0.04334035
graph_068_mu_0_4_node_5,0.07563508
graph_068_mu_0_4_node_6,0.027002892
graph_068_mu_0_4_node_7,0.04789495
graph_068_mu_0_4_node_8,0.04897491
graph_068_mu_0_4_node_9,0.04548544
graph_068_mu_0_4_node_10,0.051227488
graph_068_mu_0_4_node_11,0.04976766
graph_068_mu_0_4_node_12,0.04548544
graph_068_mu_0_4_node_13,0.04976787
graph_068_mu_0_4_node_14,0.03763907
graph_068_mu_0_4_node_15,0.028323818
graph_068_mu_0_4_node_16,0.06527491
graph_068_mu_0_4_node_17,0.07020619
graph_068_mu_0_4_node_18,0.028323818
graph_068_mu_0_4_node_19,0.06080337
graph_068_mu_0_4_node_20,0.012270207
graph_068_mu_0_4_node_21,0.033752147
graph_068_mu_0_4_node_22,0.028323818
graph_068_mu_0_4_node_23,0.028290905
graph_068_mu_0_4_node_24,0.0555773
graph_068_mu_0_4_node_25,0.07349222
graph_068_mu_0_4_node_26,0.033752147
graph_068_mu_0_4_node_27,0.042629212
graph_068_mu_0_4_node_28,0.037065774
graph_068_mu_0_4_node_29,0.026984287
graph_068_mu_0_4_node_30,0.041934885
graph_068_mu_0_4_node_31,0.06080337
graph_068_mu_0_4_node_32,0.04897491
graph_068_mu_0_4_node_33,0.041934885
graph_068_mu_0_4_node_34,0.051227488
graph_068_mu_0_4_node_35,0.02828845
graph_068_mu_0_4_node_36,0.051227488
graph_068_mu_0_4_node_37,0.072545856
graph_068_mu_0_4_node_38,0.026984287
graph_068_mu_0_4_node_39,0.041934885
graph_068_mu_0_4_node_40,0.051227488
graph_068_mu_0_4_node_41,0.06760228
graph_068_mu_0_4_node_42,0.02828845
graph_068_mu_0_4_node_43,0.03807821
graph_068_mu_0_4_node_44,0.040005304
graph_068_mu_0_4_node_45,0.031196464
graph_068_mu_0_4_node_46,0.09807248
graph_068_mu_0_4_node_47,0.04789495
graph_068_mu_0_4_node_48,0.036460586
graph_068_mu_0_4_node_49,0.033345804
graph_068_mu_0_4_node_50,0.033345804
graph_068_mu_0_4_node_51,0.026984287
graph_068_mu_0_4_node_52,0.036313586
graph_068_mu_0_4_node_53,0.027002892
graph_068_mu_0_4_node_54,0.121251374
graph_068_mu_0_4_node_55,0.03723926
graph_068_mu_0_4_node_56,0.04789495
graph_068_mu_0_4_node_57,0.07941083
graph_068_mu_0_4_node_58,0.012270207
graph_068_mu_0_4_node_59,0.043279875
graph_068_mu_0_4_node_60,0.04311486
graph_068_mu_0_4_node_61,0.02828845
graph_068_mu_0_4_node_62,0.012270207
graph_068_mu_0_4_node_63,0.012270207
graph_068_mu_0_4_node_64,0.026984287
graph_068_mu_0_4_node_65,0.04528341
graph_068_mu_0_4_node_66,0.04311486
graph_068_mu_0_4_node_67,0.06768647
graph_068_mu_0_4_node_68,0.03599307
graph_068_mu_0_4_node_69,0.02274543
graph_068_mu_0_4_node_70,0.035742074
graph_068_mu_0_4_node_71,0.033752147
graph_068_mu_0_4_node_72,0.03749151
graph_068_mu_0_4_node_73,0.048554566
graph_068_mu_0_4_node_74,0.048554566
graph_068_mu_0_4_node_75,0.036460586
graph_068_mu_0_4_node_76,0.041934885
graph_068_mu_0_4_node_77,0.0555773
graph_068_mu_0_4_node_78,0.040005304
graph_068_mu_0_4_node_79,0.06799855
graph_068_mu_0_4_node_80,0.048554566
graph_068_mu_0_4_node_81,0.04789495
graph_068_mu_0_4_node_82,0.026984287
graph_068_mu_0_4_node_83,0.071758345
graph_068_mu_0_4_node_84,0.067502216
graph_068_mu_0_4_node_85,0.048554566
graph_068_mu_0_4_node_86,0.033345804
graph_068_mu_0_4_node_87,0.042629212
graph_068_mu_0_4_node_88,0.03763907
graph_068_mu_0_4_node_89,0.026984287
graph_068_mu_0_4_node_90,0.028323818
graph_068_mu_0_4_node_91,0.07020827
graph_068_mu_0_4_node_92,0.02274543
graph_068_mu_0_4_node_93,0.06998266
graph_068_mu_0_4_node_94,0.031196464
graph_068_mu_0_4_node_95,0.042629212
graph_068_mu_0_4_node_96,0.089126386
graph_068_mu_0_4_node_97,0.057356115
graph_068_mu_0_4_node_98,0.06768647
graph_068_mu_0_4_node_99,0.0994514
graph_068_mu_0_4_node_100,0.04334035
graph_068_mu_0_4_node_101,0.04528341
graph_068_mu_0_4_node_102,0.04548544
graph_068_mu_0_4_node_103,0.04789495
graph_068_mu_0_4_node_104,0.04548544
graph_068_mu_0_4_node_105,0.02828845
graph_068_mu_0_4_node_106,0.036460586
graph_068_mu_0_4_node_107,0.012270207
graph_068_mu_0_4_node_108,0.040356737
graph_068_mu_0_4_node_109,0.07298748
graph_068_mu_0_4_node_110,0.070682436
graph_068_mu_0_4_node_111,0.041934885
graph_068_mu_0_4_node_112,0.03763907
graph_068_mu_0_4_node_113,0.07362349
graph_068_mu_0_4_node_114,0.07212744
graph_068_mu_0_4_node_115,0.031196464
graph_068_mu_0_4_node_116,0.06827271
graph_068_mu_0_4_node_117,0.02274543
graph_068_mu_0_4_node_118,0.026984287
graph_068_mu_0_4_node_119,0.06799855
graph_068_mu_0_4_node_120,0.07056261
graph_068_mu_0_4_node_121,0.031196464
graph_068_mu_0_4_node_122,0.036460586
graph_068_mu_0_4_node_123,0.057356115
graph_068_mu_0_4_node_124,0.033345804
graph_068_mu_0_4_node_125,0.03763907
graph_068_mu_0_4_node_126,0.026984287
graph_068_mu_0_4_node_127,0.028323818
graph_068_mu_0_4_node_128,0.026984287
graph_068_mu_0_4_node_129,0.051227488
graph_068_mu_0_4_node_130,0.072414376
graph_068_mu_0_4_node_131,0.047317952
graph_068_mu_0_4_node_132,0.040005304
graph_068_mu_0_4_node_133,0.035742074
graph_068_mu_0_4_node_134,0.0711432
graph_068_mu_0_4_node_135,0.07285316
graph_068_mu_0_4_node_136,0.04897491
graph_068_mu_0_4_node_137,0.04548544
graph_068_mu_0_4_node_138,0.040518254
graph_068_mu_0_4_node_139,0.10848653
graph_068_mu_0_4_node_140,0.040518254
graph_068_mu_0_4_node_141,0.04528341
graph_068_mu_0_4_node_142,0.06080337
graph_068_mu_0_4_node_143,0.06080337
graph_068_mu_0_4_node_144,0.065082304
graph_068_mu_0_4_node_145,0.041934885
graph_068_mu_0_4_node_146,0.07683163
graph_068_mu_0_4_node_147,0.028290905
graph_068_mu_0_4_node_148,0.02274543
graph_068_mu_0_4_node_149,0.040005304
graph_068_mu_0_4_node_150,0.09212349
graph_068_mu_0_4_node_151,0.027002892
graph_068_mu_0_4_node_152,0.06943628
graph_068_mu_0_4_node_153,0.03763907
graph_068_mu_0_4_node_154,0.03614018
graph_068_mu_0_4_node_155,0.048554566
graph_068_mu_0_4_node_156,0.033345804
graph_068_mu_0_4_node_157,0.040005304
graph_068_mu_0_4_node_158,0.06570777
graph_068_mu_0_4_node_159,0.04947147
graph_068_mu_0_4_node_160,0.04897491
graph_068_mu_0_4_node_161,0.036313586
graph_068_mu_0_4_node_162,0.040518254
graph_068_mu_0_4_node_163,0.04315781
graph_068_mu_0_4_node_164,0.040005304
graph_068_mu_0_4_node_165,0.100909345
graph_068_mu_0_4_node_166,0.036460586
graph_068_mu_0_4_node_167,0.07818748
graph_068_mu_0_4_node_168,0.043279875
graph_068_mu_0_4_node_169,0.033345804
graph_068_mu_0_4_node_170,0.028323818
graph_068_mu_0_4_node_171,0.041934885
graph_068_mu_0_4_node_172,0.03800766
graph_068_mu_0_4_node_173,0.028323818
graph_068_mu_0_4_node_174,0.035742074
graph_068_mu_0_4_node_175,0.026984287
graph_068_mu_0_4_node_176,0.031196464
graph_068_mu_0_4_node_177,0.08142626
graph_068_mu_0_4_node_178,0.02828845
graph_068_mu_0_4_node_179,0.04947147
graph_068_mu_0_4_node_180,0.04976766
graph_068_mu_0_4_node_181,0.036460586
graph_068_mu_0_4_node_182,0.06080337
graph_068_mu_0_4_node_183,0.033752147
graph_068_mu_0_4_node_184,0.04789495
graph_068_mu_0_4_node_185,0.02828845
graph_068_mu_0_4_node_186,0.041934885
graph_068_mu_0_4_node_187,0.04311486
graph_068_mu_0_4_node_188,0.06080337
graph_068_mu_0_4_node_189,0.036460586
graph_068_mu_0_4_node_190,0.026984287
graph_068_mu_0_4_node_191,0.0743768
graph_068_mu_0_4_node_192,0.04528341
graph_068_mu_0_4_node_193,0.02274543
graph_068_mu_0_4_node_194,0.04528341
graph_068_mu_0_4_node_195,0.02828845
graph_068_mu_0_4_node_196,0.02828845
graph_068_mu_0_4_node_197,0.035742074
graph_068_mu_0_4_node_198,0.04528341
graph_068_mu_0_4_node_199,0.033752147
graph_068_mu_0_4_node_200,0.012270207
graph_068_mu_0_4_node_201,0.03749151
graph_068_mu_0_4_node_202,0.027002892
graph_068_mu_0_4_node_203,0.04789495
graph_068_mu_0_4_node_204,0.0555773
graph_068_mu_0_4_node_205,0.02274543
graph_068_mu_0_4_node_206,0.04528341
graph_068_mu_0_4_node_207,0.041934885
graph_068_mu_0_4_node_208,0.04528341
graph_068_mu_0_4_node_209,0.02274543
graph_068_mu_0_4_node_210,0.04789495
graph_068_mu_0_4_node_211,0.0555773
graph_068_mu_0_4_node_212,0.057356115
graph_068_mu_0_4_node_213,0.028323818
graph_068_mu_0_4_node_214,0.07166861
graph_068_mu_0_4_node_215,0.04528341
graph_068_mu_0_4_node_216,0.07212744
graph_068_mu_0_4_node_217,0.033752147
graph_068_mu_0_4_node_218,0.03749151
graph_068_mu_0_4_node_219,0.036460586
graph_068_mu_0_4_node_220,0.026984287
graph_068_mu_0_4_node_221,0.012270207
graph_068_mu_0_4_node_222,0.036460586
graph_068_mu_0_4_node_223,0.07160896
graph_068_mu_0_4_node_224,0.04357573
graph_068_mu_0_4_node_225,0.051227488
graph_068_mu_0_4_node_226,0.06998266
graph_068_mu_0_4_node_227,0.036460586
graph_068_mu_0_4_node_228,0.036460586
graph_068_mu_0_4_node_229,0.036460586
graph_068_mu_0_4_node_230,0.04548544
graph_068_mu_0_4_node_231,0.036460586
graph_068_mu_0_4_node_232,0.012270207
graph_068_mu_0_4_node_233,0.040518254
graph_068_mu_0_4_node_234,0.111589804
graph_068_mu_0_4_node_235,0.03792027
graph_068_mu_0_4_node_236,0.02828845
graph_068_mu_0_4_node_237,0.04976766
graph_068_mu_0_4_node_238,0.031196464
graph_068_mu_0_4_node_239,0.031196464
graph_068_mu_0_4_node_240,0.04528341
graph_068_mu_0_4_node_241,0.051227488
graph_068_mu_0_4_node_242,0.04528341
graph_068_mu_0_4_node_243,0.04528341
graph_068_mu_0_4_node_244,0.04528341
graph_068_mu_0_4_node_245,0.067455046
graph_068_mu_0_4_node_246,0.028323818
graph_068_mu_0_4_node_247,0.04311486
graph_068_mu_0_4_node_248,0.03763907
graph_068_mu_0_4_node_249,0.012270207
graph_068_mu_0_4_node_250,0.04897491
graph_068_mu_0_4_node_251,0.04897491
graph_068_mu_0_4_node_252,0.02274543
graph_068_mu_0_4_node_253,0.040518254
graph_068_mu_0_4_node_254,0.04789495
graph_068_mu_0_4_node_255,0.028323818
graph_068_mu_0_4_node_256,0.047307372
graph_068_mu_0_4_node_257,0.054155596
graph_068_mu_0_4_node_258,0.028290905
graph_068_mu_0_4_node_259,0.04976787
graph_068_mu_0_4_node_260,0.058665894
graph_068_mu_0_4_node_261,0.04334035
graph_068_mu_0_4_node_262,0.04334035
graph_068_mu_0_4_node_263,0.028323818
graph_068_mu_0_4_node_264,0.048554566
graph_068_mu_0_4_node_265,0.06860528
graph_068_mu_0_4_node_266,0.04334035
graph_068_mu_0_4_node_267,0.012270207
graph_068_mu_0_4_node_268,0.04976787
graph_068_mu_0_4_node_269,0.070222
graph_068_mu_0_4_node_270,0.040005304
graph_068_mu_0_4_node_271,0.06080337
graph_068_mu_0_4_node_272,0.04976787
graph_068_mu_0_4_node_273,0.06477762
graph_068_mu_0_4_node_274,0.03599307
graph_068_mu_0_4_node_275,0.04528341
graph_068_mu_0_4_node_276,0.040518254
graph_068_mu_0_4_node_277,0.036313586
graph_068_mu_0_4_node_278,0.041934885
graph_068_mu_0_4_node_279,0.027002892
graph_068_mu_0_4_node_280,0.079460114
graph_068_mu_0_4_node_281,0.065082304
graph_068_mu_0_4_node_282,0.04976787
graph_068_mu_0_4_node_283,0.0555773
graph_068_mu_0_4_node_284,0.035742074
graph_068_mu_0_4_node_285,0.04976787
graph_068_mu_0_4_node_286,0.04789495
graph_068_mu_0_4_node_287,0.06080337
graph_068_mu_0_4_node_288,0.041934885
graph_068_mu_0_4_node_289,0.033752147
graph_068_mu_0_4_node_290,0.0555773
graph_068_mu_0_4_node_291,0.027002892
graph_068_mu_0_4_node_292,0.028290905
graph_068_mu_0_4_node_293,0.028290905
graph_068_mu_0_4_node_294,0.028290905
graph_068_mu_0_4_node_295,0.040518254
graph_068_mu_0_4_node_296,0.02828845
graph_068_mu_0_4_node_297,0.04976766
graph_068_mu_0_4_node_298,0.06539942
graph_068_mu_0_4_node_299,0.026984287
graph_068_mu_0_4_node_300,0.028290905
graph_068_mu_0_4_node_301,0.06390464
graph_068_mu_0_4_node_302,0.06080337
graph_068_mu_0_4_node_303,0.04976766
graph_068_mu_0_4_node_304,0.012270207
graph_068_mu_0_4_node_305,0.012270207
graph_068_mu_0_4_node_306,0.031196464
graph_068_mu_0_4_node_307,0.041934885
graph_068_mu_0_4_node_308,0.041934885
graph_068_mu_0_4_node_309,0.07545994
graph_068_mu_0_4_node_310,0.057356115
graph_068_mu_0_4_node_311,0.03763907
graph_068_mu_0_4_node_312,0.07204238
graph_068_mu_0_4_node_313,0.06477762
graph_068_mu_0_4_node_314,0.041934885
graph_068_mu_0_4_node_315,0.028323818
graph_068_mu_0_4_node_316,0.04528341
graph_068_mu_0_4_node_317,0.035742074
graph_068_mu_0_4_node_318,0.04976766
graph_068_mu_0_4_node_319,0.04789495
graph_068_mu_0_4_node_320,0.031196464
graph_068_mu_0_4_node_321,0.02828845
graph_068_mu_0_4_node_322,0.02274543
graph_068_mu_0_4_node_323,0.012270207
graph_068_mu_0_4_node_324,0.07905525
graph_068_mu_0_4_node_325,0.02828845
graph_068_mu_0_4_node_326,0.09745857
graph_068_mu_0_4_node_327,0.03763907
graph_068_mu_0_4_node_328,0.051227488
graph_068_mu_0_4_node_329,0.04528341
graph_068_mu_0_4_node_330,0.048554566
graph_068_mu_0_4_node_331,0.028323818
graph_068_mu_0_4_node_332,0.0555773
graph_068_mu_0_4_node_333,0.02274543
graph_068_mu_0_4_node_334,0.04311486
graph_068_mu_0_4_node_335,0.04789495
graph_068_mu_0_4_node_336,0.035742074
graph_068_mu_0_4_node_337,0.0521155
graph_068_mu_0_4_node_338,0.041446064
graph_068_mu_0_4_node_339,0.041831
graph_068_mu_0_4_node_340,0.06998266
graph_068_mu_0_4_node_341,0.06477762
graph_068_mu_0_4_node_342,0.0555773
graph_068_mu_0_4_node_343,0.031196464
