,Entropy
graph_038_mu_0_4_node_0,0.037673097
graph_038_mu_0_4_node_1,0.062846504
graph_038_mu_0_4_node_2,0.050630074
graph_038_mu_0_4_node_3,0.031179406
graph_038_mu_0_4_node_4,0.041157555
graph_038_mu_0_4_node_5,0.0948803
graph_038_mu_0_4_node_6,0.020931747
graph_038_mu_0_4_node_7,0.041157555
graph_038_mu_0_4_node_8,0.046484884
graph_038_mu_0_4_node_9,0.043199703
graph_038_mu_0_4_node_10,0.093213506
graph_038_mu_0_4_node_11,0.030539315
graph_038_mu_0_4_node_12,0.061130367
graph_038_mu_0_4_node_13,0.020931747
graph_038_mu_0_4_node_14,0.026965871
graph_038_mu_0_4_node_15,0.019434087
graph_038_mu_0_4_node_16,0.030539315
graph_038_mu_0_4_node_17,0.07299019
graph_038_mu_0_4_node_18,0.035079338
graph_038_mu_0_4_node_19,0.035256095
graph_038_mu_0_4_node_20,0.041157555
graph_038_mu_0_4_node_21,0.026965871
graph_038_mu_0_4_node_22,0.030668654
graph_038_mu_0_4_node_23,0.06428267
graph_038_mu_0_4_node_24,0.062461123
graph_038_mu_0_4_node_25,0.037673097
graph_038_mu_0_4_node_26,0.02345697
graph_038_mu_0_4_node_27,0.022383843
graph_038_mu_0_4_node_28,0.039300833
graph_038_mu_0_4_node_29,0.056130156
graph_038_mu_0_4_node_30,0.050630074
graph_038_mu_0_4_node_31,0.08053177
graph_038_mu_0_4_node_32,0.02345697
graph_038_mu_0_4_node_33,0.050630074
graph_038_mu_0_4_node_34,0.035079338
graph_038_mu_0_4_node_35,0.035079338
graph_038_mu_0_4_node_36,0.030770596
graph_038_mu_0_4_node_37,0.035079338
graph_038_mu_0_4_node_38,0.06027052
graph_038_mu_0_4_node_39,0.014700554
graph_038_mu_0_4_node_40,0.054306254
graph_038_mu_0_4_node_41,0.06428267
graph_038_mu_0_4_node_42,0.021112274
graph_038_mu_0_4_node_43,0.039300833
graph_038_mu_0_4_node_44,0.021112274
graph_038_mu_0_4_node_45,0.021112274
graph_038_mu_0_4_node_46,0.02345697
graph_038_mu_0_4_node_47,0.031179406
graph_038_mu_0_4_node_48,0.050630074
graph_038_mu_0_4_node_49,0.026649363
graph_038_mu_0_4_node_50,0.042320777
graph_038_mu_0_4_node_51,0.020931747
graph_038_mu_0_4_node_52,0.041157555
graph_038_mu_0_4_node_53,0.030770596
graph_038_mu_0_4_node_54,0.064550824
graph_038_mu_0_4_node_55,0.021716889
graph_038_mu_0_4_node_56,0.049441457
graph_038_mu_0_4_node_57,0.07870019
graph_038_mu_0_4_node_58,0.060176354
graph_038_mu_0_4_node_59,0.02345697
graph_038_mu_0_4_node_60,0.056681998
graph_038_mu_0_4_node_61,0.026649363
graph_038_mu_0_4_node_62,0.021112274
graph_038_mu_0_4_node_63,0.030770596
graph_038_mu_0_4_node_64,0.044223852
graph_038_mu_0_4_node_65,0.07412697
graph_038_mu_0_4_node_66,0.026649363
graph_038_mu_0_4_node_67,0.020193078
graph_038_mu_0_4_node_68,0.06027052
graph_038_mu_0_4_node_69,0.020193078
graph_038_mu_0_4_node_70,0.021112274
graph_038_mu_0_4_node_71,0.030668654
graph_038_mu_0_4_node_72,0.030668654
graph_038_mu_0_4_node_73,0.050630074
graph_038_mu_0_4_node_74,0.030539315
graph_038_mu_0_4_node_75,0.089075744
graph_038_mu_0_4_node_76,0.03522528
graph_038_mu_0_4_node_77,0.026649363
graph_038_mu_0_4_node_78,0.020931747
graph_038_mu_0_4_node_79,0.019434087
graph_038_mu_0_4_node_80,0.07419883
graph_038_mu_0_4_node_81,0.06027052
graph_038_mu_0_4_node_82,0.035131656
graph_038_mu_0_4_node_83,0.03550039
graph_038_mu_0_4_node_84,0.035131656
graph_038_mu_0_4_node_85,0.037673097
graph_038_mu_0_4_node_86,0.030668654
graph_038_mu_0_4_node_87,0.029677683
graph_038_mu_0_4_node_88,0.020931747
graph_038_mu_0_4_node_89,0.029677683
graph_038_mu_0_4_node_90,0.035131656
graph_038_mu_0_4_node_91,0.030770596
graph_038_mu_0_4_node_92,0.06428267
graph_038_mu_0_4_node_93,0.03522528
graph_038_mu_0_4_node_94,0.08682352
graph_038_mu_0_4_node_95,0.03522528
graph_038_mu_0_4_node_96,0.020931747
graph_038_mu_0_4_node_97,0.054306254
graph_038_mu_0_4_node_98,0.037673097
graph_038_mu_0_4_node_99,0.032029837
graph_038_mu_0_4_node_100,0.030539315
graph_038_mu_0_4_node_101,0.021112053
graph_038_mu_0_4_node_102,0.026965871
graph_038_mu_0_4_node_103,0.108381964
graph_038_mu_0_4_node_104,0.044223852
graph_038_mu_0_4_node_105,0.037673097
graph_038_mu_0_4_node_106,0.030539315
graph_038_mu_0_4_node_107,0.041157555
graph_038_mu_0_4_node_108,0.014700554
graph_038_mu_0_4_node_109,0.041157555
graph_038_mu_0_4_node_110,0.026649363
graph_038_mu_0_4_node_111,0.09096223
graph_038_mu_0_4_node_112,0.060176354
graph_038_mu_0_4_node_113,0.031179406
graph_038_mu_0_4_node_114,0.12617451
graph_038_mu_0_4_node_115,0.026965871
graph_038_mu_0_4_node_116,0.041157555
graph_038_mu_0_4_node_117,0.020193078
graph_038_mu_0_4_node_118,0.09095861
graph_038_mu_0_4_node_119,0.037673097
graph_038_mu_0_4_node_120,0.030539315
graph_038_mu_0_4_node_121,0.035079338
graph_038_mu_0_4_node_122,0.030668654
graph_038_mu_0_4_node_123,0.030668654
graph_038_mu_0_4_node_124,0.020193078
graph_038_mu_0_4_node_125,0.03522528
graph_038_mu_0_4_node_126,0.02743684
graph_038_mu_0_4_node_127,0.027775832
graph_038_mu_0_4_node_128,0.08955982
graph_038_mu_0_4_node_129,0.022383843
graph_038_mu_0_4_node_130,0.021716889
graph_038_mu_0_4_node_131,0.03522528
graph_038_mu_0_4_node_132,0.054306254
graph_038_mu_0_4_node_133,0.06027052
graph_038_mu_0_4_node_134,0.019434087
graph_038_mu_0_4_node_135,0.062846504
graph_038_mu_0_4_node_136,0.03522528
graph_038_mu_0_4_node_137,0.014700554
graph_038_mu_0_4_node_138,0.037673097
graph_038_mu_0_4_node_139,0.035131656
graph_038_mu_0_4_node_140,0.041157555
graph_038_mu_0_4_node_141,0.035131656
graph_038_mu_0_4_node_142,0.02820779
graph_038_mu_0_4_node_143,0.029677683
graph_038_mu_0_4_node_144,0.021112053
graph_038_mu_0_4_node_145,0.062846504
graph_038_mu_0_4_node_146,0.029677683
graph_038_mu_0_4_node_147,0.030539315
graph_038_mu_0_4_node_148,0.041383456
graph_038_mu_0_4_node_149,0.020193078
graph_038_mu_0_4_node_150,0.026319116
graph_038_mu_0_4_node_151,0.031179406
graph_038_mu_0_4_node_152,0.035131656
graph_038_mu_0_4_node_153,0.037673097
graph_038_mu_0_4_node_154,0.031179406
graph_038_mu_0_4_node_155,0.060176354
graph_038_mu_0_4_node_156,0.02820779
graph_038_mu_0_4_node_157,0.02345697
graph_038_mu_0_4_node_158,0.02345697
graph_038_mu_0_4_node_159,0.063732736
graph_038_mu_0_4_node_160,0.026649363
graph_038_mu_0_4_node_161,0.060176354
