,Stability
graph_099_mu_0_4_node_624,1
graph_099_mu_0_4_node_2,1
graph_099_mu_0_4_node_860,1
graph_099_mu_0_4_node_995,1
graph_099_mu_0_4_node_977,1
graph_099_mu_0_4_node_610,1
graph_099_mu_0_4_node_888,1
graph_099_mu_0_4_node_576,1
graph_099_mu_0_4_node_907,1
graph_099_mu_0_4_node_894,1
graph_099_mu_0_4_node_332,1
graph_099_mu_0_4_node_745,1
graph_099_mu_0_4_node_872,1
graph_099_mu_0_4_node_53,1
graph_099_mu_0_4_node_954,1
graph_099_mu_0_4_node_185,1
graph_099_mu_0_4_node_641,1
graph_099_mu_0_4_node_92,1
graph_099_mu_0_4_node_886,1
graph_099_mu_0_4_node_502,1
graph_099_mu_0_4_node_400,1
graph_099_mu_0_4_node_564,1
graph_099_mu_0_4_node_674,1
graph_099_mu_0_4_node_231,1
graph_099_mu_0_4_node_763,1
graph_099_mu_0_4_node_918,1
graph_099_mu_0_4_node_210,1
graph_099_mu_0_4_node_638,1
graph_099_mu_0_4_node_486,1
graph_099_mu_0_4_node_949,1
graph_099_mu_0_4_node_869,1
graph_099_mu_0_4_node_936,1
graph_099_mu_0_4_node_971,1
graph_099_mu_0_4_node_480,1
graph_099_mu_0_4_node_393,1
graph_099_mu_0_4_node_364,1
graph_099_mu_0_4_node_614,1
graph_099_mu_0_4_node_552,1
graph_099_mu_0_4_node_9,1
graph_099_mu_0_4_node_945,1
graph_099_mu_0_4_node_82,1
graph_099_mu_0_4_node_799,1
graph_099_mu_0_4_node_125,1
graph_099_mu_0_4_node_319,1
graph_099_mu_0_4_node_892,1
graph_099_mu_0_4_node_144,1
graph_099_mu_0_4_node_813,1
graph_099_mu_0_4_node_628,1
graph_099_mu_0_4_node_252,1
graph_099_mu_0_4_node_931,1
graph_099_mu_0_4_node_12,1
graph_099_mu_0_4_node_972,1
graph_099_mu_0_4_node_287,1
graph_099_mu_0_4_node_296,1
graph_099_mu_0_4_node_942,1
graph_099_mu_0_4_node_94,1
graph_099_mu_0_4_node_687,1
graph_099_mu_0_4_node_51,1
graph_099_mu_0_4_node_498,1
graph_099_mu_0_4_node_929,1
graph_099_mu_0_4_node_729,1
graph_099_mu_0_4_node_479,1
graph_099_mu_0_4_node_402,1
graph_099_mu_0_4_node_379,1
graph_099_mu_0_4_node_849,1
graph_099_mu_0_4_node_268,1
graph_099_mu_0_4_node_857,1
graph_099_mu_0_4_node_735,1
graph_099_mu_0_4_node_238,1
graph_099_mu_0_4_node_631,1
graph_099_mu_0_4_node_141,1
graph_099_mu_0_4_node_262,1
graph_099_mu_0_4_node_946,1
graph_099_mu_0_4_node_70,1
graph_099_mu_0_4_node_623,1
graph_099_mu_0_4_node_357,1
graph_099_mu_0_4_node_834,1
graph_099_mu_0_4_node_787,1
graph_099_mu_0_4_node_290,1
graph_099_mu_0_4_node_413,1
graph_099_mu_0_4_node_852,1
graph_099_mu_0_4_node_681,1
graph_099_mu_0_4_node_881,1
graph_099_mu_0_4_node_845,1
graph_099_mu_0_4_node_376,1
graph_099_mu_0_4_node_197,1
graph_099_mu_0_4_node_676,1
graph_099_mu_0_4_node_850,1
graph_099_mu_0_4_node_35,1
graph_099_mu_0_4_node_428,1
graph_099_mu_0_4_node_206,1
graph_099_mu_0_4_node_958,1
graph_099_mu_0_4_node_818,1
graph_099_mu_0_4_node_106,1
graph_099_mu_0_4_node_441,1
graph_099_mu_0_4_node_516,1
graph_099_mu_0_4_node_61,1
