,Stability
graph_09_mu_0_2_node_919,1
graph_09_mu_0_2_node_579,0
graph_09_mu_0_2_node_839,0
graph_09_mu_0_2_node_582,1
graph_09_mu_0_2_node_167,0
graph_09_mu_0_2_node_519,1
graph_09_mu_0_2_node_974,0
graph_09_mu_0_2_node_327,0
graph_09_mu_0_2_node_198,1
graph_09_mu_0_2_node_277,1
graph_09_mu_0_2_node_948,1
graph_09_mu_0_2_node_359,0
graph_09_mu_0_2_node_813,1
graph_09_mu_0_2_node_203,1
graph_09_mu_0_2_node_226,1
graph_09_mu_0_2_node_600,1
graph_09_mu_0_2_node_921,1
graph_09_mu_0_2_node_467,1
graph_09_mu_0_2_node_188,1
graph_09_mu_0_2_node_363,0
graph_09_mu_0_2_node_831,0
graph_09_mu_0_2_node_801,0
graph_09_mu_0_2_node_454,0
graph_09_mu_0_2_node_748,0
graph_09_mu_0_2_node_422,1
graph_09_mu_0_2_node_815,0
graph_09_mu_0_2_node_859,1
graph_09_mu_0_2_node_979,1
graph_09_mu_0_2_node_651,0
graph_09_mu_0_2_node_341,0
graph_09_mu_0_2_node_680,0
graph_09_mu_0_2_node_601,0
graph_09_mu_0_2_node_501,0
graph_09_mu_0_2_node_932,1
graph_09_mu_0_2_node_41,0
graph_09_mu_0_2_node_704,1
graph_09_mu_0_2_node_320,1
graph_09_mu_0_2_node_426,1
graph_09_mu_0_2_node_983,0
graph_09_mu_0_2_node_578,0
graph_09_mu_0_2_node_866,0
graph_09_mu_0_2_node_957,0
graph_09_mu_0_2_node_687,1
graph_09_mu_0_2_node_580,0
graph_09_mu_0_2_node_126,0
graph_09_mu_0_2_node_496,1
graph_09_mu_0_2_node_351,1
graph_09_mu_0_2_node_661,1
graph_09_mu_0_2_node_297,0
graph_09_mu_0_2_node_812,0
graph_09_mu_0_2_node_312,0
graph_09_mu_0_2_node_201,1
graph_09_mu_0_2_node_184,1
graph_09_mu_0_2_node_644,1
graph_09_mu_0_2_node_900,1
graph_09_mu_0_2_node_529,0
graph_09_mu_0_2_node_978,1
graph_09_mu_0_2_node_386,1
graph_09_mu_0_2_node_648,0
graph_09_mu_0_2_node_607,0
graph_09_mu_0_2_node_250,0
graph_09_mu_0_2_node_108,0
graph_09_mu_0_2_node_381,0
graph_09_mu_0_2_node_304,0
graph_09_mu_0_2_node_308,0
graph_09_mu_0_2_node_109,1
graph_09_mu_0_2_node_539,0
graph_09_mu_0_2_node_394,1
graph_09_mu_0_2_node_285,1
graph_09_mu_0_2_node_225,0
graph_09_mu_0_2_node_683,0
graph_09_mu_0_2_node_585,0
graph_09_mu_0_2_node_692,0
graph_09_mu_0_2_node_571,0
graph_09_mu_0_2_node_935,1
graph_09_mu_0_2_node_765,0
graph_09_mu_0_2_node_230,0
graph_09_mu_0_2_node_995,0
graph_09_mu_0_2_node_402,1
graph_09_mu_0_2_node_756,0
graph_09_mu_0_2_node_537,1
graph_09_mu_0_2_node_549,0
graph_09_mu_0_2_node_441,0
graph_09_mu_0_2_node_349,0
graph_09_mu_0_2_node_787,0
graph_09_mu_0_2_node_939,1
graph_09_mu_0_2_node_777,1
