,Stability
graph_012_mu_0_2_node_678,0
graph_012_mu_0_2_node_754,0
graph_012_mu_0_2_node_903,0
graph_012_mu_0_2_node_621,0
graph_012_mu_0_2_node_654,0
graph_012_mu_0_2_node_403,1
graph_012_mu_0_2_node_30,0
graph_012_mu_0_2_node_351,1
graph_012_mu_0_2_node_548,0
graph_012_mu_0_2_node_83,0
graph_012_mu_0_2_node_69,0
graph_012_mu_0_2_node_367,1
graph_012_mu_0_2_node_545,0
graph_012_mu_0_2_node_297,1
graph_012_mu_0_2_node_925,1
graph_012_mu_0_2_node_693,0
graph_012_mu_0_2_node_624,1
graph_012_mu_0_2_node_580,0
graph_012_mu_0_2_node_598,0
graph_012_mu_0_2_node_568,0
graph_012_mu_0_2_node_137,0
graph_012_mu_0_2_node_979,1
graph_012_mu_0_2_node_143,0
graph_012_mu_0_2_node_507,1
graph_012_mu_0_2_node_119,0
graph_012_mu_0_2_node_77,0
graph_012_mu_0_2_node_921,0
graph_012_mu_0_2_node_89,1
graph_012_mu_0_2_node_831,0
graph_012_mu_0_2_node_347,0
graph_012_mu_0_2_node_202,1
graph_012_mu_0_2_node_736,0
graph_012_mu_0_2_node_734,1
graph_012_mu_0_2_node_648,1
graph_012_mu_0_2_node_383,0
graph_012_mu_0_2_node_750,1
graph_012_mu_0_2_node_666,1
graph_012_mu_0_2_node_619,1
graph_012_mu_0_2_node_830,0
graph_012_mu_0_2_node_46,0
graph_012_mu_0_2_node_533,1
graph_012_mu_0_2_node_264,0
graph_012_mu_0_2_node_398,1
graph_012_mu_0_2_node_188,0
graph_012_mu_0_2_node_961,0
graph_012_mu_0_2_node_210,1
graph_012_mu_0_2_node_869,0
graph_012_mu_0_2_node_513,1
graph_012_mu_0_2_node_396,0
graph_012_mu_0_2_node_905,0
graph_012_mu_0_2_node_122,0
graph_012_mu_0_2_node_147,0
graph_012_mu_0_2_node_856,0
graph_012_mu_0_2_node_341,1
graph_012_mu_0_2_node_954,1
graph_012_mu_0_2_node_694,0
graph_012_mu_0_2_node_204,0
graph_012_mu_0_2_node_650,1
graph_012_mu_0_2_node_434,1
graph_012_mu_0_2_node_980,1
graph_012_mu_0_2_node_913,1
graph_012_mu_0_2_node_578,0
graph_012_mu_0_2_node_691,0
graph_012_mu_0_2_node_190,1
graph_012_mu_0_2_node_178,0
graph_012_mu_0_2_node_44,0
graph_012_mu_0_2_node_726,0
graph_012_mu_0_2_node_303,1
graph_012_mu_0_2_node_737,1
graph_012_mu_0_2_node_633,0
graph_012_mu_0_2_node_314,1
graph_012_mu_0_2_node_871,1
graph_012_mu_0_2_node_374,1
graph_012_mu_0_2_node_505,1
graph_012_mu_0_2_node_942,0
graph_012_mu_0_2_node_290,1
graph_012_mu_0_2_node_975,0
graph_012_mu_0_2_node_655,1
graph_012_mu_0_2_node_530,1
graph_012_mu_0_2_node_445,1
graph_012_mu_0_2_node_271,1
graph_012_mu_0_2_node_910,1
graph_012_mu_0_2_node_874,1
graph_012_mu_0_2_node_25,0
graph_012_mu_0_2_node_840,1
graph_012_mu_0_2_node_112,0
graph_012_mu_0_2_node_144,0
graph_012_mu_0_2_node_769,1
graph_012_mu_0_2_node_522,1
graph_012_mu_0_2_node_476,1
graph_012_mu_0_2_node_348,1
graph_012_mu_0_2_node_124,0
graph_012_mu_0_2_node_936,0
graph_012_mu_0_2_node_543,1
graph_012_mu_0_2_node_848,0
graph_012_mu_0_2_node_686,0
graph_012_mu_0_2_node_703,0
graph_012_mu_0_2_node_593,1
graph_012_mu_0_2_node_0,0
graph_012_mu_0_2_node_63,0
graph_012_mu_0_2_node_883,0
