feature,n_graphs,mean_effect,std_effect,max_abs_effect,mean_abs_effect,min_effect,max_effect,q25,q50,q75
Eigenvector,120,-1.585794750217341e-05,0.11658436399286991,0.39778768349445043,0.09377044805713654,-0.33346770477047705,0.39778768349445043,-0.08383071459553242,-0.007432080569884548,0.07925714285714286
Triangle Participation,120,-1.1029438828269294e-05,0.13177034294093706,0.39765631469979296,0.11161167153186208,-0.254809968847352,0.39765631469979296,-0.10736731321839081,-0.027849676660787765,0.10373816483808511
Clustering Coefficient,120,-4.043677569469165e-05,0.08361863267417254,0.27091823899371065,0.06917777159262085,-0.18552262857142857,0.27091823899371065,-0.06218254707291165,-0.021749380750176926,0.05873927331349206
Expansion,120,7.186664471496123e-05,0.0591493486232915,0.21499435028248584,0.043108955807937714,-0.21499435028248584,0.19051307189542485,-0.029374503588677513,0.0003888507021433922,0.029280404735993373
Betweenness,120,-2.2331650633536302e-05,0.03628229359069331,0.14090388302972195,0.02764717799686221,-0.13077009345794396,0.14090388302972195,-0.021041911764705868,-0.0003231719330150773,0.021345003770739057
Cut Ratio,120,2.635376117115822e-05,0.028809644595331654,0.13617149758454106,0.020875696482801978,-0.13617149758454106,0.10657795698924734,-0.014658578566189944,0.0009139682539682527,0.015408212560386476
Closeness,120,2.8647934693354032e-05,0.02465213207119329,0.12091062059082897,0.017993662291501355,-0.09708864734299517,0.12091062059082897,-0.013028868717735866,-0.0010508163265306133,0.013858142896206875
E In,120,-9.29870672721841e-05,0.02858271190300469,0.11426899003707616,0.021821875800045076,-0.11195700934579439,0.11426899003707616,-0.017060087197159575,-0.00038775851323021786,0.01653890786749482
Degree,120,-0.00037850588642785853,0.01971665397521923,0.1117430041402004,0.014899987006554366,-0.1117430041402004,0.07798643308923682,-0.011421089197669205,0.00011728253968254116,0.011554045584045583
Shortest Path,120,-0.0001729323103105031,0.026515961163695177,0.10690663580246916,0.019526607013871242,-0.10139523809523808,0.10690663580246916,-0.014223342234089898,-0.0010756687675070038,0.014472013201320128
E In Over E Out,120,-2.4458920559640105e-05,0.016132493697347407,0.10596465169833046,0.012162162433892043,-0.07585783132530119,0.10596465169833046,-0.008835824592074598,0.0009269874616513283,0.009627210884353742
E Out,120,7.553909015871705e-06,0.018213901207589384,0.10282,0.012718023821155663,-0.08066101694915254,0.10282,-0.00849941176470588,-6.289308176100931e-05,0.008988035527690697
Normalised Cut,120,-5.537038718597324e-05,0.019066986533269454,0.0982404268675455,0.014721980844193674,-0.06826415094339622,0.0982404268675455,-0.012347101487835861,-0.002155571428571422,0.01102989457831325
Conductance,120,-6.680496210977144e-05,0.022324367147752378,0.09569055608820708,0.017610025203230985,-0.08864896616541355,0.09569055608820708,-0.015094117647058812,-0.0033194177203591697,0.013511065943992775
ODF,120,-2.941543936910405e-05,0.01639000085998671,0.08984905660377361,0.012186354769394786,-0.08081761006289306,0.08984905660377361,-0.009621704545454546,-0.0013137523627149796,0.00892480063795855
