feature,n_graphs,mean_effect,std_effect,max_abs_effect,mean_abs_effect,min_effect,max_effect,q25,q50,q75
Eigenvector,120,-0.0009919771793956138,0.14382197469038613,0.5665123626373626,0.10753592952598146,-0.18858258928571428,0.5665123626373626,-0.09668564364979927,-0.053825195279761304,0.024365853658536607
Expansion,120,-0.0008162617153859946,0.09463601064775795,0.476795566502463,0.06991761588807258,-0.3094901960784313,0.476795566502463,-0.06007317073170732,-0.013435017285602764,0.038525364077669905
Triangle Participation,120,0.00016120195012828622,0.039986876900588976,0.33572357723577234,0.027051093818010442,-0.17093333333333333,0.33572357723577234,-0.019744608918128646,-0.00015042372881356013,0.018129446259497944
E Out,120,-8.450933742857869e-07,0.0642964129484043,0.29535042148686214,0.047158760377590814,-0.19158643429880542,0.29535042148686214,-0.03998105263157896,-0.004569444444444446,0.027289788359788365
E In,120,-4.432933157503852e-05,0.03559985542945053,0.2480295954941116,0.024984311258470733,-0.2100973886328725,0.2480295954941116,-0.018231611432861432,-0.0012334558823529392,0.01779222130356897
Clustering Coefficient,120,-0.00021662760593033694,0.036060921707464215,0.22884226847471878,0.02393776328452386,-0.19836805555555556,0.22884226847471878,-0.017979060252655277,-0.003999999999999996,0.011455703009801373
Shortest Path,120,-0.0005115553404227463,0.0331421996604729,0.21120000000000005,0.023442424550147223,-0.17514285714285713,0.21120000000000005,-0.019695843680620898,-0.005142857142857138,0.011568975515463917
Cut Ratio,120,-0.00011157101083435677,0.02883689326077949,0.17854605911330046,0.020972490490467913,-0.13795000000000002,0.17854605911330046,-0.015579817540755042,-0.0016659517137364186,0.014376480263157899
Closeness,120,-0.00015463214184734616,0.03201879340417917,0.1543636976408604,0.023370287700395027,-0.1512857142857143,0.1543636976408604,-0.019478600681725678,-0.005890505773092365,0.014131165845648603
Conductance,120,-0.00013703912951545328,0.015252914429485493,0.14121612903225808,0.01054144832822266,-0.14121612903225808,0.12639101382488477,-0.008677827380952383,-0.0017155430711610483,0.006731514199959649
Degree,120,7.401197742640673e-05,0.018916672827263784,0.10252486740689866,0.013759484233590956,-0.07791818181818179,0.10252486740689866,-0.011245004882802986,-0.0005180628913882524,0.009608078097088357
Normalised Cut,120,-0.00013778849121951964,0.014274175160463814,0.10179838709677419,0.010177051141692237,-0.08677304147465438,0.10179838709677419,-0.008056144578313242,-0.001634146341463419,0.006156630406630399
Betweenness,120,0.0001101342816272187,0.019417854018186936,0.09931003003003001,0.014358222242105796,-0.09931003003003001,0.09081658986175116,-0.009926291349873289,0.0006176470588235318,0.01207487340279527
ODF,120,-0.00013562828835030175,0.01406855770186605,0.08224707259953162,0.00996237746676478,-0.0808603686635945,0.08224707259953162,-0.008059241323648108,-0.0012727272727272735,0.005991858878968248
E In Over E Out,120,-4.294747769945717e-06,0.010803495616237412,0.060971658986175105,0.007827691806832909,-0.05728947368421053,0.060971658986175105,-0.005679914070891511,-1.852927484711905e-05,0.00575931681681682
