feature,importance_mean,importance_median,ci_lower,ci_upper,std_effect,n_graphs
Expansion,0.16964297455610342,0.16967983162308542,0.16005280886508244,0.18005297450477378,0.055078056265391084,120.0
Triangle Participation,0.14803433139879657,0.14814840923098171,0.13433378780008512,0.1602774419792154,0.07525286526990284,120.0
Eigenvector,0.1036511097796358,0.10382084087887326,0.09027453503627109,0.11732996168473021,0.07772938249167696,120.0
Clustering Coefficient,0.08609360847928776,0.08632473881221922,0.07739457998534365,0.09595407719072323,0.05230016424227727,120.0
Cut Ratio,0.07434743940546736,0.07456415651804112,0.06514999984927522,0.08417233226973782,0.051731830184447235,120.0
ODF,0.05995524569704345,0.05976825619280942,0.05303491668617943,0.06615953794467816,0.03690376835159567,120.0
E Out,0.05823952897376474,0.05831221729794167,0.05241588817073775,0.06490991913310719,0.036352702043341005,120.0
Conductance,0.04516135867627613,0.04500934173934339,0.041630278310357406,0.04873990498760395,0.019574771379523175,120.0
Normalised Cut,0.04342945835371637,0.043352060839681406,0.04004176458379348,0.04691431712196282,0.019659802144589286,120.0
Betweenness,0.039114874104668296,0.03906560920462655,0.034696301214748836,0.043494950743707024,0.02503435059139492,120.0
Closeness,0.03903583183715017,0.03903248409651697,0.03486160741268672,0.042969310569641074,0.023535825010264102,120.0
Shortest Path,0.031513255485646444,0.03147877709665081,0.028125006210084128,0.035125219958019274,0.020625656099414115,120.0
E In Over E Out,0.030446365117980316,0.03026460776988031,0.025741130785251674,0.03547590530783759,0.026674366380784145,120.0
E In,0.02875445066874669,0.02870993242515114,0.02521906195206368,0.032711899884919265,0.020992384988632706,120.0
Degree,0.020795807285085743,0.020768932093131097,0.01863083643280474,0.02320995289500903,0.012791250305346029,120.0
