feature,n_graphs,mean_effect,std_effect,max_abs_effect,mean_abs_effect,min_effect,max_effect,q25,q50,q75
Eigenvector,120,-0.0008277815570447407,0.14164557884010745,0.4698613671274962,0.11103299677455727,-0.36182724252491694,0.4698613671274962,-0.10529508196721311,-0.02527795698924732,0.07489383871942011
Triangle Participation,120,0.0002909743021243911,0.07312365844618841,0.3634646464646465,0.04851076965860683,-0.2690353535353535,0.3634646464646465,-0.0320644567129177,-0.0007469135802469129,0.027364547710976277
Clustering Coefficient,120,-0.0002411002802220099,0.04161900832382122,0.27799118165784825,0.02711231821339787,-0.1625804473304473,0.27799118165784825,-0.01773502156395415,-0.0020322580645161254,0.01399999999999999
Expansion,120,0.0003148519208694911,0.05844381670459398,0.2665715789473684,0.04149672217946982,-0.2073217074217074,0.2665715789473684,-0.02761107762059563,0.0006730598669623191,0.028254822100025452
Betweenness,120,7.037344970474969e-05,0.023236628684841335,0.18000248756218906,0.015632711606728453,-0.15095238095238095,0.18000248756218906,-0.010086419753086422,-9.09090909091085e-05,0.010504255319148934
E Out,120,-0.0007912682007167193,0.028940058589533732,0.17525365200365203,0.019087682396323306,-0.17525365200365203,0.14866666666666664,-0.013025122549019616,-0.0005641292041291957,0.010260496632996626
Shortest Path,120,-0.0002641580349803666,0.03964839384513303,0.1712781672996397,0.030543658007170627,-0.1712781672996397,0.16014246762099524,-0.026557425742574258,-0.004545833333333331,0.02245454545454544
Cut Ratio,120,-0.00024554118819624,0.03633390816882027,0.16803001499812523,0.024657177035308397,-0.16803001499812523,0.1552675925925926,-0.014928565915406002,0.0005619970951343479,0.016027905597722963
Closeness,120,-0.0004962364826431762,0.041099684055674594,0.15347058823529408,0.032017819903185335,-0.15072348816827347,0.15347058823529408,-0.02863157894736842,-0.003527777777777771,0.02498692810457516
E In,120,0.00016495812960779595,0.043420315546195264,0.1512942528735633,0.033981685250702935,-0.1379,0.1512942528735633,-0.029097368421052622,-0.004048735119047619,0.026178861788617884
Normalised Cut,120,-0.00014220764573578406,0.013395823247644368,0.12335964912280707,0.009008464421276691,-0.0783939393939394,0.12335964912280707,-0.006535485160331463,-0.0005155510480054099,0.0056296814671814525
Degree,120,0.00025475571368954915,0.019424951168115073,0.11500336134453783,0.014074553411350398,-0.08015591836734695,0.11500336134453783,-0.010093665674603172,-0.0010293285867927224,0.009249999999999994
E In Over E Out,120,-2.3125007034653502e-05,0.012793298154705856,0.07607894736842102,0.009406155824619233,-0.060375000000000005,0.07607894736842102,-0.006389846517119248,0.0003207393483709312,0.007078947368421038
Conductance,120,-0.00022747248339089672,0.014027504622793584,0.07507611940298509,0.010055227642454314,-0.062,0.07507611940298509,-0.007909090909090912,-0.0005493400621118007,0.0070662100456620825
ODF,120,-0.00019027464725083202,0.013884988961215771,0.07011840796019905,0.009942867234461307,-0.06669298245614035,0.07011840796019905,-0.0073548387096774095,-0.0006290322580645179,0.007036036036036041
