feature,importance_mean,importance_median,ci_lower,ci_upper,std_effect,n_graphs
Triangle Participation,0.19567475413266985,0.19597991871937204,0.18270196530083327,0.20889340708306536,0.07435869876275066,120.0
Eigenvector,0.16546245589390596,0.16546451521002148,0.15087861340800224,0.1802295443364218,0.08319955221072614,120.0
Clustering Coefficient,0.11660810653760872,0.11670356377636198,0.10738778199565288,0.12591090853903242,0.051758137202703766,120.0
Expansion,0.0959002773728263,0.09577887234533834,0.08637396025319276,0.10499661725555613,0.05466489576529876,120.0
Betweenness,0.06331014969336028,0.06343874630579166,0.05820599337454054,0.0684403901410953,0.03093065106689834,120.0
Cut Ratio,0.05355943308073588,0.05369948822551885,0.04840619638569719,0.059158675842077034,0.029140160795723416,120.0
E In,0.045748771719023064,0.04568158896154476,0.04155869501771154,0.04971934400327419,0.023052018599445275,120.0
Closeness,0.04312541627473322,0.04314960721823353,0.039059479949462066,0.046899016158915036,0.02317335232417754,120.0
Shortest Path,0.04229381364411564,0.042197808951885796,0.03758445942158349,0.04660629440030528,0.02529107619874049,120.0
Conductance,0.03633094328391724,0.036391984598168184,0.033103281410713704,0.03961481318814224,0.01824159324130475,120.0
E Out,0.03403578579766486,0.034079853722344344,0.030634392844485863,0.0379015399646739,0.019651770587909845,120.0
Normalised Cut,0.03103748380955066,0.031057089953591646,0.02837907986561965,0.033945258940051966,0.015702934798031,120.0
Degree,0.02966900508690735,0.02963453264969011,0.026685419994311912,0.032621857907396155,0.01677517627316381,120.0
E In Over E Out,0.02913611596331468,0.029126533750077163,0.026776716514953048,0.031533002102279065,0.013656695718070698,120.0
ODF,0.024804010994103898,0.024744727601031403,0.022679158115568015,0.027164347618824112,0.012543799914634139,120.0
