,Stability
graph_096_mu_0_3_node_625,0
graph_096_mu_0_3_node_995,1
graph_096_mu_0_3_node_955,1
graph_096_mu_0_3_node_884,0
graph_096_mu_0_3_node_399,0
graph_096_mu_0_3_node_949,0
graph_096_mu_0_3_node_822,1
graph_096_mu_0_3_node_856,0
graph_096_mu_0_3_node_180,0
graph_096_mu_0_3_node_221,0
graph_096_mu_0_3_node_262,1
graph_096_mu_0_3_node_922,1
graph_096_mu_0_3_node_449,0
graph_096_mu_0_3_node_476,1
graph_096_mu_0_3_node_309,1
graph_096_mu_0_3_node_820,1
graph_096_mu_0_3_node_68,1
graph_096_mu_0_3_node_101,0
graph_096_mu_0_3_node_755,0
graph_096_mu_0_3_node_100,0
graph_096_mu_0_3_node_482,1
graph_096_mu_0_3_node_129,0
graph_096_mu_0_3_node_673,1
graph_096_mu_0_3_node_954,0
graph_096_mu_0_3_node_656,0
graph_096_mu_0_3_node_891,1
graph_096_mu_0_3_node_897,0
graph_096_mu_0_3_node_205,0
graph_096_mu_0_3_node_775,0
graph_096_mu_0_3_node_429,0
graph_096_mu_0_3_node_978,0
graph_096_mu_0_3_node_286,0
graph_096_mu_0_3_node_713,1
graph_096_mu_0_3_node_145,1
graph_096_mu_0_3_node_596,0
graph_096_mu_0_3_node_418,0
graph_096_mu_0_3_node_341,1
graph_096_mu_0_3_node_505,1
graph_096_mu_0_3_node_507,1
graph_096_mu_0_3_node_273,0
graph_096_mu_0_3_node_911,0
graph_096_mu_0_3_node_458,0
graph_096_mu_0_3_node_64,1
graph_096_mu_0_3_node_590,0
graph_096_mu_0_3_node_392,0
graph_096_mu_0_3_node_632,0
graph_096_mu_0_3_node_847,0
graph_096_mu_0_3_node_357,1
graph_096_mu_0_3_node_510,1
graph_096_mu_0_3_node_638,0
graph_096_mu_0_3_node_511,0
graph_096_mu_0_3_node_717,0
graph_096_mu_0_3_node_386,1
graph_096_mu_0_3_node_76,0
graph_096_mu_0_3_node_384,0
graph_096_mu_0_3_node_89,0
graph_096_mu_0_3_node_819,1
graph_096_mu_0_3_node_982,1
graph_096_mu_0_3_node_430,0
graph_096_mu_0_3_node_195,1
graph_096_mu_0_3_node_782,0
graph_096_mu_0_3_node_512,1
graph_096_mu_0_3_node_280,1
graph_096_mu_0_3_node_797,1
graph_096_mu_0_3_node_826,0
graph_096_mu_0_3_node_479,0
graph_096_mu_0_3_node_431,1
graph_096_mu_0_3_node_84,1
graph_096_mu_0_3_node_820,0
graph_096_mu_0_3_node_227,1
graph_096_mu_0_3_node_966,0
graph_096_mu_0_3_node_431,0
graph_096_mu_0_3_node_312,0
graph_096_mu_0_3_node_766,0
graph_096_mu_0_3_node_343,1
graph_096_mu_0_3_node_902,0
graph_096_mu_0_3_node_297,0
graph_096_mu_0_3_node_37,1
graph_096_mu_0_3_node_818,0
graph_096_mu_0_3_node_354,0
graph_096_mu_0_3_node_275,1
graph_096_mu_0_3_node_179,0
graph_096_mu_0_3_node_823,1
graph_096_mu_0_3_node_365,0
graph_096_mu_0_3_node_626,1
graph_096_mu_0_3_node_742,0
graph_096_mu_0_3_node_377,0
graph_096_mu_0_3_node_919,1
graph_096_mu_0_3_node_433,0
graph_096_mu_0_3_node_848,0
graph_096_mu_0_3_node_224,0
graph_096_mu_0_3_node_631,1
graph_096_mu_0_3_node_513,1
graph_096_mu_0_3_node_561,0
graph_096_mu_0_3_node_368,1
graph_096_mu_0_3_node_908,0
graph_096_mu_0_3_node_779,0
graph_096_mu_0_3_node_553,1
graph_096_mu_0_3_node_873,0
graph_096_mu_0_3_node_876,1
graph_096_mu_0_3_node_621,1
