,Stability
graph_077_mu_0_3_node_923,0
graph_077_mu_0_3_node_268,0
graph_077_mu_0_3_node_450,1
graph_077_mu_0_3_node_95,0
graph_077_mu_0_3_node_19,1
graph_077_mu_0_3_node_946,0
graph_077_mu_0_3_node_775,0
graph_077_mu_0_3_node_166,1
graph_077_mu_0_3_node_211,0
graph_077_mu_0_3_node_547,1
graph_077_mu_0_3_node_955,0
graph_077_mu_0_3_node_261,0
graph_077_mu_0_3_node_935,0
graph_077_mu_0_3_node_226,0
graph_077_mu_0_3_node_27,1
graph_077_mu_0_3_node_841,1
graph_077_mu_0_3_node_389,1
graph_077_mu_0_3_node_952,0
graph_077_mu_0_3_node_907,1
graph_077_mu_0_3_node_264,0
graph_077_mu_0_3_node_736,0
graph_077_mu_0_3_node_141,0
graph_077_mu_0_3_node_437,1
graph_077_mu_0_3_node_25,0
graph_077_mu_0_3_node_850,1
graph_077_mu_0_3_node_251,0
graph_077_mu_0_3_node_620,0
graph_077_mu_0_3_node_472,1
graph_077_mu_0_3_node_567,1
graph_077_mu_0_3_node_318,1
graph_077_mu_0_3_node_735,0
graph_077_mu_0_3_node_798,0
graph_077_mu_0_3_node_276,1
graph_077_mu_0_3_node_447,1
graph_077_mu_0_3_node_864,0
graph_077_mu_0_3_node_662,0
graph_077_mu_0_3_node_755,0
graph_077_mu_0_3_node_417,0
graph_077_mu_0_3_node_851,0
graph_077_mu_0_3_node_186,0
graph_077_mu_0_3_node_272,0
graph_077_mu_0_3_node_454,0
graph_077_mu_0_3_node_700,0
graph_077_mu_0_3_node_818,0
graph_077_mu_0_3_node_505,1
graph_077_mu_0_3_node_788,1
graph_077_mu_0_3_node_462,0
graph_077_mu_0_3_node_681,1
graph_077_mu_0_3_node_487,1
graph_077_mu_0_3_node_782,0
graph_077_mu_0_3_node_529,1
graph_077_mu_0_3_node_754,1
graph_077_mu_0_3_node_401,1
graph_077_mu_0_3_node_451,1
graph_077_mu_0_3_node_134,0
graph_077_mu_0_3_node_859,0
graph_077_mu_0_3_node_221,0
graph_077_mu_0_3_node_174,1
graph_077_mu_0_3_node_408,1
graph_077_mu_0_3_node_559,1
graph_077_mu_0_3_node_247,1
graph_077_mu_0_3_node_110,1
graph_077_mu_0_3_node_136,0
graph_077_mu_0_3_node_79,1
graph_077_mu_0_3_node_475,1
graph_077_mu_0_3_node_911,1
graph_077_mu_0_3_node_449,0
graph_077_mu_0_3_node_727,0
graph_077_mu_0_3_node_770,0
graph_077_mu_0_3_node_769,0
graph_077_mu_0_3_node_668,1
graph_077_mu_0_3_node_185,0
graph_077_mu_0_3_node_303,0
graph_077_mu_0_3_node_262,0
graph_077_mu_0_3_node_57,0
graph_077_mu_0_3_node_178,0
graph_077_mu_0_3_node_830,1
graph_077_mu_0_3_node_344,0
graph_077_mu_0_3_node_641,0
graph_077_mu_0_3_node_164,1
graph_077_mu_0_3_node_560,0
graph_077_mu_0_3_node_301,1
graph_077_mu_0_3_node_77,1
graph_077_mu_0_3_node_206,1
graph_077_mu_0_3_node_397,0
graph_077_mu_0_3_node_424,0
graph_077_mu_0_3_node_493,1
graph_077_mu_0_3_node_494,1
graph_077_mu_0_3_node_160,0
graph_077_mu_0_3_node_457,1
graph_077_mu_0_3_node_632,1
